parameter,value1,value2,value3,value4,value5
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.5,0.5,0.5,0.4,0.4
importance_type,split,split,split,split,split
learning_rate,0.0017,0.0017,0.0017,0.002,0.0015
max_depth,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,1400,1400,1500,1300,1500
n_jobs,-1,-1,-1,-1,-1
num_leaves,5,5,5,4,4
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,0.0,0.0,0.3,0.3,0.0
reg_lambda,0.0,0.0,0.3,0.3,0.0
silent,warn,warn,warn,warn,warn
subsample,0.2,0.2,0.2,0.1,0.1
subsample_for_bin,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,2,2,2,2,2
cv,,,,,
scoring,precision,precision,precision,precision,precision
num_col,110,110,110,100,95
best_score,0.49444444444444446,0.49444444444444446,0.4976874003189792,0.5066917293233082,0.5019298245614034
best_index,303.0,285.0,1230.0,147.0,39.0
acc_train,0.875,0.875,0.875,0.8166666666666667,0.8166666666666667
acc_val,0.5483870967741935,0.5483870967741935,0.5806451612903226,0.5806451612903226,0.6451612903225806
acc_test,0.5789473684210527,0.5789473684210527,0.631578947368421,0.6052631578947368,0.6052631578947368
precision,0.5652173913043478,0.5652173913043478,0.6086956521739131,0.5833333333333334,0.5833333333333334
recall,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579
f1score,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6511627906976745,0.6511627906976745
roc,0.5789473684210527,0.5789473684210527,0.6315789473684211,0.605263157894737,0.605263157894737
tn,9.0,9.0,10.0,9.0,9.0
fp,10.0,10.0,9.0,10.0,10.0
fn,6.0,6.0,5.0,5.0,5.0
tp,13.0,13.0,14.0,14.0,14.0
acc_test1,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision1,0.5555555555555556,0.5555555555555556,0.625,0.625,0.625
recall1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
f1score1,0.6666666666666667,0.6666666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143
roc1,0.5833333333333335,0.5833333333333335,0.6666666666666667,0.6666666666666667,0.6666666666666667
tn1,2.0,2.0,3.0,3.0,3.0
fp1,4.0,4.0,3.0,3.0,3.0
fn1,1.0,1.0,1.0,1.0,1.0
tp1,5.0,5.0,5.0,5.0,5.0
acc_test2,0.4166666666666667,0.4166666666666667,0.5,0.5,0.5
precision2,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5
recall2,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
f1score2,0.4615384615384615,0.4615384615384615,0.5714285714285715,0.5714285714285715,0.5714285714285715
roc2,0.41666666666666663,0.41666666666666663,0.5,0.5,0.5
tn2,2.0,2.0,2.0,2.0,2.0
fp2,4.0,4.0,4.0,4.0,4.0
fn2,3.0,3.0,2.0,2.0,2.0
tp2,3.0,3.0,4.0,4.0,4.0
acc_test3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429
precision3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.625,0.625
recall3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
f1score3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666
roc3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571428,0.6428571428571428
tn3,5.0,5.0,5.0,4.0,4.0
fp3,2.0,2.0,2.0,3.0,3.0
fn3,2.0,2.0,2.0,2.0,2.0
tp3,5.0,5.0,5.0,5.0,5.0
