parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.5,0.5
importance_type,split,split
learning_rate,0.0017,0.0017
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1400,1400
n_jobs,-1,-1
num_leaves,5,5
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.2,0.2
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,2,2
cv,,
scoring,precision,precision
num_col,110,110
best_score,0.49444444444444446,0.49444444444444446
best_index,303.0,285.0
acc_train,0.875,0.875
acc_val,0.5483870967741935,0.5483870967741935
acc_test,0.5789473684210527,0.5789473684210527
precision,0.5652173913043478,0.5652173913043478
recall,0.6842105263157895,0.6842105263157895
f1score,0.6190476190476191,0.6190476190476191
roc,0.5789473684210527,0.5789473684210527
tn,9.0,9.0
fp,10.0,10.0
fn,6.0,6.0
tp,13.0,13.0
acc_test1,0.5833333333333334,0.5833333333333334
precision1,0.5555555555555556,0.5555555555555556
recall1,0.8333333333333334,0.8333333333333334
f1score1,0.6666666666666667,0.6666666666666667
roc1,0.5833333333333335,0.5833333333333335
tn1,2.0,2.0
fp1,4.0,4.0
fn1,1.0,1.0
tp1,5.0,5.0
acc_test2,0.4166666666666667,0.4166666666666667
precision2,0.42857142857142855,0.42857142857142855
recall2,0.5,0.5
f1score2,0.4615384615384615,0.4615384615384615
roc2,0.41666666666666663,0.41666666666666663
tn2,2.0,2.0
fp2,4.0,4.0
fn2,3.0,3.0
tp2,3.0,3.0
acc_test3,0.7142857142857143,0.7142857142857143
precision3,0.7142857142857143,0.7142857142857143
recall3,0.7142857142857143,0.7142857142857143
f1score3,0.7142857142857143,0.7142857142857143
roc3,0.7142857142857143,0.7142857142857143
tn3,5.0,5.0
fp3,2.0,2.0
fn3,2.0,2.0
tp3,5.0,5.0
