parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.7,0.7,0.5,0.7,0.7,0.7
importance_type,split,split,split,split,split,split
learning_rate,0.0015,0.0015,0.002,0.0015,0.0015,0.0017
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,15,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1200,1200,1100,1200,1200,1100
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,4,4,6,4,4,4
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0,0.0,0.5
silent,warn,warn,warn,warn,warn,warn
subsample,0.2,0.1,0.1,0.1,0.1,0.05
subsample_for_bin,200000,200000,200000,200000,250000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110
best_score,0.49444444444444446,0.49444444444444446,0.4623376623376624,0.49444444444444446,0.49444444444444446,0.4813131313131313
best_index,2680.0,567.0,201.0,5103.0,1134.0,780.0
acc_train,0.9583333333333334,0.9583333333333334,0.9916666666666667,0.9583333333333334,0.9583333333333334,0.9416666666666667
acc_val,0.6451612903225806,0.6451612903225806,0.6129032258064516,0.6451612903225806,0.6451612903225806,0.6451612903225806
acc_test,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.6578947368421053,0.6578947368421053,0.631578947368421
precision,0.75,0.75,0.7333333333333333,0.75,0.75,0.6923076923076923
recall,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.47368421052631576,0.47368421052631576,0.47368421052631576
f1score,0.5806451612903226,0.5806451612903226,0.6470588235294117,0.5806451612903226,0.5806451612903226,0.5625
roc,0.6578947368421052,0.6578947368421052,0.6842105263157895,0.6578947368421052,0.6578947368421052,0.631578947368421
tn,16.0,16.0,15.0,16.0,16.0,15.0
fp,3.0,3.0,4.0,3.0,3.0,4.0
fn,10.0,10.0,8.0,10.0,10.0,10.0
tp,9.0,9.0,11.0,9.0,9.0,9.0
acc_test1,0.75,0.75,0.6666666666666666,0.75,0.75,0.75
precision1,0.8,0.8,0.6666666666666666,0.8,0.8,0.8
recall1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
f1score1,0.7272727272727272,0.7272727272727272,0.6666666666666666,0.7272727272727272,0.7272727272727272,0.7272727272727272
roc1,0.75,0.75,0.6666666666666667,0.75,0.75,0.75
tn1,5.0,5.0,4.0,5.0,5.0,5.0
fp1,1.0,1.0,2.0,1.0,1.0,1.0
fn1,2.0,2.0,2.0,2.0,2.0,2.0
tp1,4.0,4.0,4.0,4.0,4.0,4.0
acc_test2,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25
precision2,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
recall2,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
f1score2,0.0,0.0,0.4444444444444444,0.0,0.0,0.0
roc2,0.33333333333333337,0.33333333333333337,0.5833333333333334,0.33333333333333337,0.33333333333333337,0.25
tn2,4.0,4.0,5.0,4.0,4.0,3.0
fp2,2.0,2.0,1.0,2.0,2.0,3.0
fn2,6.0,6.0,4.0,6.0,6.0,6.0
tp2,0.0,0.0,2.0,0.0,0.0,0.0
acc_test3,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571
precision3,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
recall3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
f1score3,0.8333333333333333,0.8333333333333333,0.7692307692307692,0.8333333333333333,0.8333333333333333,0.8333333333333333
roc3,0.8571428571428572,0.8571428571428572,0.7857142857142858,0.8571428571428572,0.8571428571428572,0.8571428571428572
tn3,7.0,7.0,6.0,7.0,7.0,7.0
fp3,0.0,0.0,1.0,0.0,0.0,0.0
fn3,2.0,2.0,2.0,2.0,2.0,2.0
tp3,5.0,5.0,5.0,5.0,5.0,5.0
