parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,True,True,True,True,True,True,True,True,True,True,False,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,gbdt,gbdt,gbdt,gbdt,dart,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,1.0,0.5818035893192751,0.5818035893192751,0.5818035893192751,0.5,0.7261196227768498,0.9875904579134589,0.6981219815442095,1.0,0.6981219815442095,0.845709515617022,0.9051557850641503,0.6544167588892782,0.845709515617022
cv,3,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,3,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,50
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,50
