parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
cv,3,3,3,3,3,3,3
iterations,50,50,30,10,10,10,30
num_col,98,98,98,98,98,98,98
scoring,precision,accuracy,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,
colsample_bytree,0.18259106579584983,0.29430397693682403,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.005
force_col_wise,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split
learning_rate,0.00041959701594668095,0.0006212596548166,0.0003952711851453308,0.0003952711851453308,0.0003952711851453308,0.0003952711851453308,0.0019496651575190164
max_bin,504,192,513,513,513,513,745
max_depth,6,36,27,27,27,27,27
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,19,25,25,25,25,11
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,4857,5000,3232,3232,3232,3232,1618
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,4,10,10,10,10,3
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,2.0569304364805627,2.4173516828305393,1.9926933510296294,1.9926933510296294,0.0,0.9963466755148147,1.989342388146077
reg_lambda,2.848688823958355,0.8467801325213211,3.8726966959629308,3.8726966959629308,0.0,1.9363483479814654,0.5578808298054978
scale_pos_weight,0.5500402451670083,1.2746615051915706,0.6684512344586391,0.6684512344586391,1.0967120079633332,0.6684512344586391,0.7524600894566069
silent,warn,warn,warn,warn,warn,warn,warn
subsample,0.7541777589609567,0.181941798461233,0.6487712293279236,0.6487712293279236,0.968333303120779,0.6487712293279236,0.2744862042411785
subsample_for_bin,417404,322074,477471,477471,204100,477471,237184
subsample_freq,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0
best_score,0.8666666666666667,0.6363636363636364,0.75,0.75,0.6127450980392157,0.594017094017094,0.7777777777777778
best_index,49.0,41.0,5.0,5.0,5.0,5.0,27.0
acc_train,0.6565656565656566,0.8434343434343434,0.6666666666666666,0.6666666666666666,0.8787878787878788,0.7222222222222222,0.6515151515151515
acc_val,0.56,0.68,0.62,0.62,0.64,0.58,0.62
acc_test,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6825396825396826
precision,1.0,0.4,1.0,1.0,0.4375,0.6666666666666666,1.0
recall,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.3181818181818182,0.09090909090909091,0.09090909090909091
f1score,0.08695652173913045,0.4615384615384615,0.08695652173913045,0.08695652173913045,0.3684210526315789,0.16,0.16666666666666669
roc,0.5227272727272727,0.5532150776053215,0.5227272727272727,0.5227272727272727,0.5493348115299335,0.5332594235033259,0.5454545454545454
tn,41.0,23.0,41.0,41.0,32.0,40.0,41.0
fp,0.0,18.0,0.0,0.0,9.0,1.0,0.0
fn,21.0,10.0,21.0,21.0,15.0,20.0,20.0
tp,1.0,12.0,1.0,1.0,7.0,2.0,2.0
acc_test1,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.7142857142857143
precision1,0.0,0.5,0.0,0.0,0.5714285714285714,1.0,0.0
recall1,0.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0
f1score1,0.0,0.625,0.0,0.0,0.6153846153846153,0.2857142857142857,0.0
roc1,0.5,0.7500000000000002,0.5,0.5,0.7333333333333333,0.5833333333333334,0.5
tn1,15.0,10.0,15.0,15.0,12.0,15.0,15.0
fp1,0.0,5.0,0.0,0.0,3.0,0.0,0.0
fn1,6.0,1.0,6.0,6.0,2.0,5.0,6.0
tp1,0.0,5.0,0.0,0.0,4.0,1.0,0.0
acc_test2,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.7619047619047619
precision2,1.0,0.3076923076923077,1.0,1.0,0.375,0.5,1.0
recall2,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857
f1score2,0.25,0.4,0.25,0.25,0.39999999999999997,0.22222222222222224,0.4444444444444445
roc2,0.5714285714285714,0.4642857142857143,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5357142857142857,0.6428571428571428
tn2,14.0,5.0,14.0,14.0,9.0,13.0,14.0
fp2,0.0,9.0,0.0,0.0,5.0,1.0,0.0
fn2,6.0,3.0,6.0,6.0,4.0,6.0,5.0
tp2,1.0,4.0,1.0,1.0,3.0,1.0,2.0
acc_test3,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714
precision3,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
recall3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
f1score3,0.0,0.375,0.0,0.0,0.0,0.0,0.0
roc3,0.5,0.5,0.5,0.5,0.4583333333333333,0.5,0.5
tn3,12.0,8.0,12.0,12.0,11.0,12.0,12.0
fp3,0.0,4.0,0.0,0.0,1.0,0.0,0.0
fn3,9.0,6.0,9.0,9.0,9.0,9.0,9.0
tp3,0.0,3.0,0.0,0.0,0.0,0.0,0.0
