parameter,value1,value2,value3,value4,value5,value7
boosting_type,gbdt,dart,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.3622278172617969,0.6000568421245674,0.3622278172617969,0.3622278172617969,0.9332036588535947,0.7425763306461872
importance_type,split,split,split,split,split,split
learning_rate,0.000890045629333899,0.0006885907876058295,0.000890045629333899,0.000890045629333899,0.0011847240811834723,0.000845385863843898
max_depth,32,38,32,32,18,16
min_child_samples,31,37,31,31,16,36
min_child_weight,6,0.001,5,3,7,8
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2826,1590,2826,2826,1965,2433
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,11,7,11,11,5,3
objective,binary,binary,binary,binary,binary,binary
random_state,,,,,,
reg_alpha,1.3,2.4000000000000004,1.3,1.3,2.5,1.4000000000000001
reg_lambda,1.8,0.1,1.8,1.8,0.30000000000000004,0.9
silent,warn,warn,warn,warn,warn,warn
subsample,0.330729836811081,0.4488857071819565,0.330729836811081,0.330729836811081,0.6843335166200109,0.17081643471481592
subsample_for_bin,258087,225635,258087,258087,408795,345897
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1
boost_from_average,True,True,True,True,False,False
force_col_wise,true,true,true,true,true,true
max_bin,635,186,635,635,473,347
scale_pos_weight,1.6000000000000003,1.8000000000000005,1.6000000000000003,1.6000000000000003,1.3000000000000003,1.5000000000000004
cv,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110
iterations,10,10,10,10,10,10
best_score,0.5956493506493505,0.6262337662337661,0.5956493506493505,0.5956493506493505,0.608982683982684,0.5967099567099567
best_index,6.0,3.0,6.0,6.0,0.0,9.0
acc_train,0.7572815533980582,0.7184466019417476,0.7572815533980582,0.7572815533980582,0.7766990291262136,0.7281553398058253
acc_val,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
acc_test,0.696969696969697,0.6666666666666666,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697
precision,0.7142857142857143,0.6818181818181818,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
recall,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263
f1score,0.7500000000000001,0.7317073170731707,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001
roc,0.6804511278195489,0.6447368421052632,0.6804511278195489,0.6804511278195489,0.6804511278195489,0.6804511278195489
tn,8.0,7.0,8.0,8.0,8.0,8.0
fp,6.0,7.0,6.0,6.0,6.0,6.0
fn,4.0,4.0,4.0,4.0,4.0,4.0
tp,15.0,15.0,15.0,15.0,15.0,15.0
acc_test1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
precision1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
recall1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
f1score1,0.75,0.75,0.75,0.75,0.75,0.75
roc1,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286
tn1,1.0,1.0,1.0,1.0,1.0,1.0
fp1,3.0,3.0,3.0,3.0,3.0,3.0
fn1,1.0,1.0,1.0,1.0,1.0,1.0
tp1,6.0,6.0,6.0,6.0,6.0,6.0
acc_test2,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
precision2,0.625,0.625,0.625,0.625,0.625,0.625
recall2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
f1score2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
roc2,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715
tn2,1.0,1.0,1.0,1.0,1.0,1.0
fp2,3.0,3.0,3.0,3.0,3.0,3.0
fn2,2.0,2.0,2.0,2.0,2.0,2.0
tp2,5.0,5.0,5.0,5.0,5.0,5.0
acc_test3,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
precision3,1.0,0.8,1.0,1.0,1.0,1.0
recall3,0.8,0.8,0.8,0.8,0.8,0.8
f1score3,0.888888888888889,0.8000000000000002,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
roc3,0.9,0.8166666666666667,0.9,0.9,0.9,0.9
tn3,6.0,5.0,6.0,6.0,6.0,6.0
fp3,0.0,1.0,0.0,0.0,0.0,0.0
fn3,1.0,1.0,1.0,1.0,1.0,1.0
tp3,4.0,4.0,4.0,4.0,4.0,4.0
