parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.5,0.4,0.4,0.5,0.4,0.4
importance_type,split,split,split,split,split,split
learning_rate,0.001,0.001,0.001,0.0005,0.0005,0.0005
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1100,1000,1000,1300,1400,1400
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,5,5,5,4,4,4
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,1,1,1,1,1,0.8
reg_lambda,1,1,1,1,1,0.8
silent,warn,warn,warn,warn,warn,warn
subsample,0.3,0.3,0.3,0.3,0.3,0.3
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,50,50,110
best_score,0.6964285714285714,0.738095238095238,0.738095238095238,0.8800000000000001,0.8800000000000001,0.8076190476190476
best_index,18.0,32.0,32.0,216.0,152.0,608.0
acc_train,0.8349514563106796,0.8446601941747572,0.8446601941747572,0.7961165048543689,0.8058252427184466,0.8155339805825242
acc_val,0.6153846153846154,0.6538461538461539,0.6538461538461539,0.5384615384615384,0.5384615384615384,0.5769230769230769
acc_test,0.6060606060606061,0.6666666666666666,0.6666666666666666,0.6060606060606061,0.5757575757575758,0.6060606060606061
precision,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8,0.7777777777777778,0.8
recall,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.42105263157894735
f1score,0.6060606060606061,0.6451612903225806,0.6451612903225806,0.5517241379310345,0.5,0.5517241379310345
roc,0.6203007518796992,0.6917293233082706,0.6917293233082706,0.6390977443609023,0.6127819548872181,0.6390977443609023
tn,10.0,12.0,12.0,12.0,12.0,12.0
fp,4.0,2.0,2.0,2.0,2.0,2.0
fn,9.0,9.0,9.0,11.0,12.0,11.0
tp,10.0,10.0,10.0,8.0,7.0,8.0
acc_test1,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.36363636363636365
precision1,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5
recall1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857
f1score1,0.5714285714285714,0.6153846153846153,0.6153846153846153,0.36363636363636365,0.2,0.36363636363636365
roc1,0.4107142857142857,0.5357142857142857,0.5357142857142857,0.3928571428571428,0.3214285714285714,0.3928571428571428
tn1,1.0,2.0,2.0,2.0,2.0,2.0
fp1,3.0,2.0,2.0,2.0,2.0,2.0
fn1,3.0,3.0,3.0,5.0,6.0,5.0
tp1,4.0,4.0,4.0,2.0,1.0,2.0
acc_test2,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
precision2,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
recall2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
f1score2,0.4,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445
roc2,0.5178571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428
tn2,3.0,4.0,4.0,4.0,4.0,4.0
fp2,1.0,0.0,0.0,0.0,0.0,0.0
fn2,5.0,5.0,5.0,5.0,5.0,5.0
tp2,2.0,2.0,2.0,2.0,2.0,2.0
acc_test3,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
precision3,1.0,1.0,1.0,1.0,1.0,1.0
recall3,0.8,0.8,0.8,0.8,0.8,0.8
f1score3,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
roc3,0.9,0.9,0.9,0.9,0.9,0.9
tn3,6.0,6.0,6.0,6.0,6.0,6.0
fp3,0.0,0.0,0.0,0.0,0.0,0.0
fn3,1.0,1.0,1.0,1.0,1.0,1.0
tp3,4.0,4.0,4.0,4.0,4.0,4.0
