parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value26
cv,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
iterations,30,30,30,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,accuracy,precision,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy
boost_from_average,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,dart,gbdt,dart,dart,gbdt,gbdt,dart
class_weight,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.005,0.11938851385629598,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.872293668820899,0.005,0.872293668820899,0.005,0.11199367544157177,0.005,0.005,0.872293668820899,0.005,0.005,0.2305653565156203,0.005,0.4299611151235065
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.004,0.0017090959875445586,0.003930387393799548,0.003930387393799548,0.0008085375757773418,0.0011701071672268726,0.002011266011596797,0.0016306408316183814,0.00041186769510464843,0.004,0.004355384284400334,0.00040783886902393755,0.004,0.00040783886902393755,0.0013348255669043676,0.00018103244101786995,0.0013348255669043676,0.00017831596278826796,0.00040783886902393755,0.0039934822785163285,0.0015993731834513393,0.00015658077085955058,0.0017931727964470973,0.0001
max_bin,350,678,825,825,100,663,100,1058,171,618,458,333,468,333,157,211,157,827,333,100,1141,636,780,363
max_depth,14,15,27,27,0,46,8,29,48,19,21,0,15,0,48,49,48,48,0,43,2,24,8,14
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,26,38,38,39,8,23,26,19,40,30,26,40,26,16,9,16,5,26,23,21,26,39,20
min_child_weight,5,5,0.001,0.001,9,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,6206,4453,9844,9844,10000,10000,13000,8320,5552,9999,3426,2688,2197,2688,8361,6589,8361,10104,2688,3497,12000,10410,15000,12842
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,11,5,5,14,7,11,11,15,8,3,12,15,12,8,6,8,8,12,11,9,11,6,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.2,1.5,2.5,2.5,0.0,3.6,1.6,0.1,2.9000000000000004,1.8,0.0,0.4,0.1,0.4,2,4,2,0.0,0.6233237513776264,2.1059835049695543,1.2705103128823372,0.886545199578219,2.2892928360249867,0.0
reg_lambda,3.5,4.1000000000000005,0.6000000000000001,0.6000000000000001,1.2000000000000002,3.8000000000000003,1.0,0.4,1.3,1.2000000000000002,1.3,0.5,0.9,0.5,2.5,0.2,2.5,0.4,0.5,4.991661628253554,2.645524008893481,2.3201529050410628,1.8554270218777125,6.9851803363409735
scale_pos_weight,1.8000000000000005,0.4000000000000001,1.0000000000000002,1.0000000000000002,1.2000000000000004,1.2000000000000004,1.8000000000000005,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.3000000000000003,0.8000000000000003,1.2000000000000004,0.8000000000000003,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,0.8000000000000003,1.1000000000000003,1.0782056716770554,0.9392718134645646,1.0718631603549842,0.8117536953618312
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,0.46954798836653006,0.27559997675332526,0.27559997675332526,0.5743496747000899,0.5709967414309531,0.005,0.390186499090346,1.0,0.34248554523144836,0.005,0.40764193647046626,0.005,0.40764193647046626,0.005,0.6813864613956103,0.005,0.35228801193297754,0.40764193647046626,0.005,0.005,0.18582439034899795,1.0,0.44815912855386514
subsample_for_bin,100000,400436,500000,500000,122591,236005,100000,317681,500000,985233,394848,771515,974231,771515,217564,914789,217564,1000000,771515,994965,1000000,878022,1000000,684851
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6410256410256411,1.0,0.6564102564102564,0.6564102564102564,0.6564102564102564,0.6615384615384615,0.635897435897436,0.6717948717948717,0.6615384615384615,0.6717948717948717,0.6717948717948717,0.6410256410256411,0.6564102564102564,0.6410256410256411,0.6717948717948717,0.6512820512820513,0.6717948717948717,0.6461538461538462,0.6461538461538462,0.6615384615384615,0.6461538461538462,0.6461538461538462,0.6615384615384615,0.6461538461538462
best_index,20.0,20.0,17.0,17.0,48.0,40.0,20.0,20.0,27.0,42.0,48.0,8.0,34.0,8.0,46.0,20.0,46.0,47.0,8.0,46.0,18.0,23.0,26.0,38.0
acc_train,0.9641025641025641,0.6820512820512821,0.9487179487179487,0.9487179487179487,0.8769230769230769,0.7692307692307693,0.9794871794871794,0.9846153846153847,0.764102564102564,0.9641025641025641,0.9384615384615385,0.8307692307692308,0.8615384615384616,0.8307692307692308,0.8717948717948718,0.7794871794871795,0.8717948717948718,0.958974358974359,0.8307692307692308,0.8102564102564103,0.8769230769230769,0.8615384615384616,0.9230769230769231,0.8153846153846154
acc_val,0.5918367346938775,0.5714285714285714,0.6122448979591837,0.6122448979591837,0.5510204081632653,0.6122448979591837,0.6530612244897959,0.5714285714285714,0.6122448979591837,0.6326530612244898,0.5714285714285714,0.6122448979591837,0.5918367346938775,0.6122448979591837,0.5918367346938775,0.5714285714285714,0.5918367346938775,0.5510204081632653,0.6122448979591837,0.5918367346938775,0.6326530612244898,0.673469387755102,0.5918367346938775,0.5510204081632653
acc_test,0.6290322580645161,0.5483870967741935,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6290322580645161,0.6612903225806451,0.6290322580645161,0.6935483870967742,0.6774193548387096,0.5806451612903226,0.6774193548387096,0.5806451612903226,0.6935483870967742,0.7258064516129032,0.6935483870967742,0.6129032258064516,0.5483870967741935,0.6129032258064516,0.6451612903225806,0.6612903225806451,0.6774193548387096,0.5967741935483871
precision,0.631578947368421,1.0,0.782608695652174,0.782608695652174,0.696969696969697,0.6857142857142857,0.6388888888888888,0.7142857142857143,0.7083333333333334,0.7916666666666666,0.696969696969697,0.8181818181818182,0.696969696969697,0.8181818181818182,0.75,0.7352941176470589,0.75,0.7142857142857143,0.7777777777777778,0.7142857142857143,0.7391304347826086,0.8,0.7407407407407407,0.7857142857142857
recall,0.7272727272727273,0.15151515151515152,0.5454545454545454,0.5454545454545454,0.696969696969697,0.7272727272727273,0.696969696969697,0.6060606060606061,0.5151515151515151,0.5757575757575758,0.696969696969697,0.2727272727272727,0.696969696969697,0.2727272727272727,0.6363636363636364,0.7575757575757576,0.6363636363636364,0.45454545454545453,0.21212121212121213,0.45454545454545453,0.5151515151515151,0.48484848484848486,0.6060606060606061,0.3333333333333333
f1score,0.676056338028169,0.2631578947368421,0.6428571428571429,0.6428571428571429,0.696969696969697,0.7058823529411764,0.6666666666666666,0.6557377049180327,0.5964912280701754,0.6666666666666667,0.696969696969697,0.4090909090909091,0.696969696969697,0.4090909090909091,0.6885245901639345,0.746268656716418,0.6885245901639345,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.6071428571428571,0.6037735849056605,0.6666666666666666,0.4680851063829786
