parameter,value1
cv,3
iterations,30
num_col,98
scoring,accuracy
boost_from_average,False
boosting_type,gbdt
class_weight,
colsample_bytree,0.005
force_col_wise,true
importance_type,split
learning_rate,0.004
max_bin,350
max_depth,14
metric,binary_logloss
min_child_samples,19
min_child_weight,5
min_split_gain,0.0
n_estimators,6206
n_jobs,-1
num_leaves,7
objective,binary
random_state,42
reg_alpha,2.2
reg_lambda,3.5
scale_pos_weight,1.8000000000000005
silent,warn
subsample,1.0
subsample_for_bin,100000
subsample_freq,0
verbose,1
best_score,0.6410256410256411
best_index,20.0
acc_train,0.9641025641025641
acc_val,0.5918367346938775
acc_test,0.6290322580645161
precision,0.631578947368421
recall,0.7272727272727273
f1score,0.676056338028169
roc,0.622257053291536
tn,15.0
fp,14.0
fn,9.0
tp,24.0
acc_test1,0.6
precision1,0.6
recall1,0.6
f1score1,0.6
roc1,0.6
tn1,6.0
fp1,4.0
fn1,4.0
tp1,6.0
acc_test2,0.65
precision2,0.6666666666666666
recall2,0.7272727272727273
f1score2,0.6956521739130435
roc2,0.6414141414141414
tn2,5.0
fp2,4.0
fn2,3.0
tp2,8.0
acc_test3,0.6363636363636364
precision3,0.625
recall3,0.8333333333333334
f1score3,0.7142857142857143
roc3,0.6166666666666667
tn3,4.0
fp3,6.0
fn3,2.0
tp3,10.0
