parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,1
reg_lambda,1
silent,warn
subsample,0.3
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.6964285714285714
best_index,18.0
acc_train,0.8349514563106796
acc_val,0.6153846153846154
acc_test,0.6060606060606061
precision,0.7142857142857143
recall,0.5263157894736842
f1score,0.6060606060606061
roc,0.6203007518796992
tn,10.0
fp,4.0
fn,9.0
tp,10.0
acc_test1,0.45454545454545453
precision1,0.5714285714285714
recall1,0.5714285714285714
f1score1,0.5714285714285714
roc1,0.4107142857142857
tn1,1.0
fp1,3.0
fn1,3.0
tp1,4.0
acc_test2,0.45454545454545453
precision2,0.6666666666666666
recall2,0.2857142857142857
f1score2,0.4
roc2,0.5178571428571428
tn2,3.0
fp2,1.0
fn2,5.0
tp2,2.0
acc_test3,0.9090909090909091
precision3,1.0
recall3,0.8
f1score3,0.888888888888889
roc3,0.9
tn3,6.0
fp3,0.0
fn3,1.0
tp3,4.0
