parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.6000568421245674
importance_type,split
learning_rate,0.0006885907876058295
max_depth,38
min_child_samples,37
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1590
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,2.4000000000000004
reg_lambda,0.1
silent,warn
subsample,0.4488857071819565
subsample_for_bin,225635
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,186
scale_pos_weight,1.8000000000000005
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6262337662337661
best_index,3.0
acc_train,0.7184466019417476
acc_val,0.6153846153846154
acc_test,0.6666666666666666
precision,0.6818181818181818
recall,0.7894736842105263
f1score,0.7317073170731707
roc,0.6447368421052632
tn,7.0
fp,7.0
fn,4.0
tp,15.0
acc_test1,0.6363636363636364
precision1,0.6666666666666666
recall1,0.8571428571428571
f1score1,0.75
roc1,0.5535714285714286
tn1,1.0
fp1,3.0
fn1,1.0
tp1,6.0
acc_test2,0.5454545454545454
precision2,0.625
recall2,0.7142857142857143
f1score2,0.6666666666666666
roc2,0.48214285714285715
tn2,1.0
fp2,3.0
fn2,2.0
tp2,5.0
acc_test3,0.8181818181818182
precision3,0.8
recall3,0.8
f1score3,0.8000000000000002
roc3,0.8166666666666667
tn3,5.0
fp3,1.0
fn3,1.0
tp3,4.0
