parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.3622278172617969
importance_type,split
learning_rate,0.000890045629333899
max_depth,32
min_child_samples,31
min_child_weight,6
min_split_gain,0.0
n_estimators,2826
n_jobs,-1
num_leaves,11
objective,binary
random_state,
reg_alpha,1.3
reg_lambda,1.8
silent,warn
subsample,0.330729836811081
subsample_for_bin,258087
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,635
scale_pos_weight,1.6000000000000003
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5956493506493505
best_index,6.0
acc_train,0.7572815533980582
acc_val,0.6153846153846154
acc_test,0.696969696969697
precision,0.7142857142857143
recall,0.7894736842105263
f1score,0.7500000000000001
roc,0.6804511278195489
tn,8.0
fp,6.0
fn,4.0
tp,15.0
acc_test1,0.6363636363636364
precision1,0.6666666666666666
recall1,0.8571428571428571
f1score1,0.75
roc1,0.5535714285714286
tn1,1.0
fp1,3.0
fn1,1.0
tp1,6.0
acc_test2,0.5454545454545454
precision2,0.625
recall2,0.7142857142857143
f1score2,0.6666666666666666
roc2,0.48214285714285715
tn2,1.0
fp2,3.0
fn2,2.0
tp2,5.0
acc_test3,0.9090909090909091
precision3,1.0
recall3,0.8
f1score3,0.888888888888889
roc3,0.9
tn3,6.0
fp3,0.0
fn3,1.0
tp3,4.0
