parameter,value1,value2,value3
acc_test,0.631578947368421,0.5263157894736842,0.5263157894736842
acc_test1,0.6666666666666666,0.5,0.5
acc_test2,0.5,0.5,0.3333333333333333
acc_test3,0.7142857142857143,0.5714285714285714,0.7142857142857143
acc_train,0.7333333333333333,0.75,0.8166666666666667
acc_val,0.4,0.5333333333333333,0.4
best_index,8.0,192.0,7.0
best_score,0.5619047619047619,0.6079365079365079,0.6051226551226551
boost_from_average,True,,True
boosting_type,gbdt,gbdt,goss
class_weight,,,
colsample_bytree,0.8729354091785829,0.5,0.5015020365607495
cv,5,5,5
f1score,0.7407407407407408,0.64,0.6666666666666665
f1score1,0.8000000000000002,0.6666666666666665,0.6666666666666665
f1score2,0.5714285714285715,0.5714285714285715,0.5
f1score3,0.8,0.6666666666666665,0.8
fn,2.0,4.0,3.0
fn1,1.0,2.0,2.0
fn2,1.0,1.0,1.0
fn3,0.0,1.0,0.0
force_col_wise,true,,true
fp,5.0,5.0,6.0
fp1,1.0,1.0,1.0
fp2,2.0,2.0,3.0
fp3,2.0,2.0,2.0
importance_type,split,split,split
iterations,10,10,10
learning_rate,0.0009896828112718643,0.0015,0.0008935887340296632
max_depth,11,-1,3
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,21,20,11
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1216,1300,1070
n_jobs,-1,-1,-1
num_col,110,110,19
num_leaves,4,3,9
objective,binary,binary,binary
precision,0.6666666666666666,0.6153846153846154,0.6
precision1,0.8,0.75,0.75
precision2,0.5,0.5,0.4
precision3,0.6666666666666666,0.6,0.6666666666666666
random_state,,42,
recall,0.8333333333333334,0.6666666666666666,0.75
recall1,0.8,0.6,0.6
recall2,0.6666666666666666,0.6666666666666666,0.6666666666666666
recall3,1.0,0.75,1.0
reg_alpha,1.6,0.0,2.2
reg_lambda,0.4,0.0,2.6
roc,0.5595238095238095,0.47619047619047616,0.44642857142857145
roc1,0.4,0.3,0.3
roc2,0.5,0.5,0.3333333333333333
roc3,0.6666666666666667,0.5416666666666667,0.6666666666666667
scale_pos_weight,,1.0,
scoring,precision,precision,precision
silent,warn,warn,warn
subsample,0.1932757915911235,0.1,0.08532107526802597
subsample_for_bin,247054,250000,209797
subsample_freq,0,0,0
tn,2.0,2.0,1.0
tn1,0.0,0.0,0.0
tn2,1.0,1.0,0.0
tn3,1.0,1.0,1.0
tp,10.0,8.0,9.0
tp1,4.0,3.0,3.0
tp2,2.0,2.0,2.0
tp3,4.0,3.0,4.0
verbose,1,,1
