parameter,value1,value2,value3,value4,value5,value6,value7,value8,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20
acc_test,0.631578947368421,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.631578947368421,0.5789473684210527,0.6842105263157895,0.5789473684210527,0.6842105263157895,0.5789473684210527,0.5789473684210527,0.6842105263157895,0.631578947368421,0.5789473684210527,0.631578947368421,0.6842105263157895,0.5789473684210527,0.631578947368421
acc_test1,0.6666666666666666,0.5,0.5,0.5,0.5,0.8333333333333334,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334
acc_test2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5
acc_test3,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714
acc_train,0.7333333333333333,0.75,0.8166666666666667,0.8166666666666667,0.8833333333333333,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.8166666666666667,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.8,0.7833333333333333,0.8,0.8,0.7666666666666667,0.5333333333333333
acc_val,0.4,0.5333333333333333,0.4,0.4,0.6666666666666666,0.4,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6,0.6,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333
best_index,8.0,192.0,7.0,7.0,9.0,5.0,8.0,2.0,4.0,2.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
best_score,0.5619047619047619,0.6079365079365079,0.6051226551226551,0.6160317460317459,0.652063492063492,0.5616666666666668,0.5616666666666668,0.6233333333333334,0.5366666666666667,0.6233333333333334,0.5700000000000001,0.5700000000000001,0.6233333333333334,0.6166666666666667,0.6266666666666667,0.6166666666666667,0.6066666666666667,0.6266666666666667,0.5333333333333333
boost_from_average,True,,True,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True
boosting_type,gbdt,gbdt,goss,goss,goss,goss,gbdt,goss,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.8729354091785829,0.5,0.5015020365607495,0.5015020365607495,0.743869916924347,0.17197110685216477,0.8729354091785829,0.11381056696717655,0.5313540347564155,0.11381056696717655,0.8729354091785829,0.8729354091785829,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.30689305933475414
cv,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
f1score,0.7407407407407408,0.64,0.6666666666666665,0.6666666666666665,0.6086956521739131,0.7586206896551724,0.6923076923076924,0.75,0.6923076923076924,0.75,0.6666666666666666,0.6666666666666666,0.75,0.7199999999999999,0.6923076923076924,0.7199999999999999,0.75,0.6923076923076924,0.7741935483870968
f1score1,0.8000000000000002,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.9090909090909091,0.6666666666666665,0.8000000000000002,0.6666666666666665,0.8000000000000002,0.6666666666666665,0.6666666666666665,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.9090909090909091
f1score2,0.5714285714285715,0.5714285714285715,0.5,0.5,0.4,0.5,0.5714285714285715,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.6666666666666666
f1score3,0.8,0.6666666666666665,0.8,0.8,0.6666666666666665,0.8,0.8,0.75,0.8,0.75,0.6666666666666665,0.6666666666666665,0.75,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.75,0.6666666666666665,0.7272727272727273
fn,2.0,4.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
fn1,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
fn2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
fn3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
force_col_wise,true,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
fp,5.0,5.0,6.0,6.0,4.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,7.0
fp1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fp2,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0
fp3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
learning_rate,0.0009896828112718643,0.0015,0.0008935887340296632,0.0008935887340296632,0.0014101274965423404,0.00209837254257327,0.0009896828112718643,0.0007002088049764271,0.0025252456096247645,0.0007002088049764271,0.0009896828112718643,0.0009896828112718643,0.0007002088049764271,0.0007002088049764271,0.0007002088049764271,0.0007002088049764271,0.0007002088049764271,0.00020003937281998327,0.002423174894227271
max_bin,,,,,,,,508,745,508,290,290,508,508,508,508,508,508,156
max_cat_threshold,,,,,,,,,,,10,1,,,,,,,
max_depth,11,-1,3,3,14,19,11,8,21,8,19,19,8,8,8,8,8,8,7
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,21,20,11,11,10,24,18,25,17,25,11,11,25,25,25,25,25,25,27
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1216,1300,1070,1070,1426,1350,923,1481,1262,1481,1337,1337,1481,1481,1481,1481,1481,1968,1944
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,110,110,19,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19
num_leaves,4,3,9,9,13,10,12,11,9,11,8,8,11,11,11,11,11,11,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
precision,0.6666666666666666,0.6153846153846154,0.6,0.6,0.6363636363636364,0.6470588235294118,0.6428571428571429,0.75,0.6428571428571429,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6923076923076923,0.6428571428571429,0.6923076923076923,0.75,0.6428571428571429,0.631578947368421
precision1,0.8,0.75,0.75,0.75,0.75,0.8333333333333334,0.75,0.8,0.75,0.8,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8333333333333334
precision2,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5
precision3,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6,0.6,0.75,0.6,0.6,0.6,0.75,0.6,0.5714285714285714
random_state,,42,,,,,,,,,,,,,,,,,
recall,0.8333333333333334,0.6666666666666666,0.75,0.75,0.5833333333333334,0.9166666666666666,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.75,1.0
recall1,0.8,0.6,0.6,0.6,0.6,1.0,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,1.0
recall2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
recall3,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0
reg_alpha,1.6,0.0,2.2,2.2,0.0,2.2,0.5,0.8,1.0,0.8,0.7000000000000001,0.7000000000000001,0.8,0.8,1.0,0.8,0.6000000000000001,0.6000000000000001,2.2
reg_lambda,0.4,0.0,2.6,2.6,0.8,0.1,0.7000000000000001,2.0,1.0,2.0,1.4000000000000001,1.4000000000000001,2.0,2.0,2.5,2.0,1.5,1.5,1.1
roc,0.5595238095238095,0.47619047619047616,0.44642857142857145,0.44642857142857145,0.505952380952381,0.5297619047619048,0.5178571428571428,0.6607142857142857,0.5178571428571428,0.6607142857142857,0.5476190476190477,0.5476190476190477,0.6607142857142857,0.5892857142857143,0.5178571428571428,0.5892857142857143,0.6607142857142857,0.5178571428571428,0.5
roc1,0.4,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5
roc2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666667,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5,0.6666666666666667,0.6666666666666667,0.5,0.5
roc3,0.6666666666666667,0.5416666666666667,0.6666666666666667,0.6666666666666667,0.5416666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.6666666666666667,0.7083333333333334,0.5416666666666667,0.5416666666666667,0.7083333333333334,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.7083333333333334,0.5416666666666667,0.5
scale_pos_weight,,1.0,,,,,,,,1.0000000000000002,0.9000000000000001,0.9000000000000001,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.2000000000000004
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.1932757915911235,0.1,0.08532107526802597,0.08532107526802597,0.7267675535162856,0.5031916043798332,0.3739593550034222,0.4508929401410196,0.2752075144662172,0.36752901532637433,0.7486662168737165,0.7486662168737165,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.14532262888502284
subsample_for_bin,247054,250000,209797,209797,280957,487270,261866,244456,494396,498762,481885,481885,498762,498762,498762,498762,498762,498762,119127
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
tn,2.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,0.0
tn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tn2,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0
tn3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
