parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8729354091785829
importance_type,split
learning_rate,0.0009896828112718643
max_depth,11
min_child_samples,21
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1216
n_jobs,-1
num_leaves,4
objective,binary
random_state,
reg_alpha,1.6
reg_lambda,0.4
silent,warn
subsample,0.1932757915911235
subsample_for_bin,247054
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.5619047619047619
best_index,8.0
acc_train,0.7333333333333333
acc_val,0.4
acc_test,0.631578947368421
precision,0.6666666666666666
recall,0.8333333333333334
f1score,0.7407407407407408
roc,0.5595238095238095
tn,2.0
fp,5.0
fn,2.0
tp,10.0
acc_test1,0.6666666666666666
precision1,0.8
recall1,0.8
f1score1,0.8000000000000002
roc1,0.4
tn1,0.0
fp1,1.0
fn1,1.0
tp1,4.0
acc_test2,0.5
precision2,0.5
recall2,0.6666666666666666
f1score2,0.5714285714285715
roc2,0.5
tn2,1.0
fp2,2.0
fn2,1.0
tp2,2.0
acc_test3,0.7142857142857143
precision3,0.6666666666666666
recall3,1.0
f1score3,0.8
roc3,0.6666666666666667
tn3,1.0
fp3,2.0
fn3,0.0
tp3,4.0
