parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
cv,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,True,False
boosting_type,gbdt,gbdt,dart,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,
colsample_bytree,0.6163500361202018,0.679511465960702,0.799023538756064,0.5107000939537274,0.799023538756064,0.12729232424129674,0.10933486275994007
force_col_wise,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split
learning_rate,0.00117490127015603,0.0008966376442750347,0.00014220821962091613,0.000280906074464308,0.00014220821962091613,0.0004987529479972191,0.0005330882335306452
max_bin,597,684,780,974,780,239,240
max_depth,28,21,44,9,44,20,38
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,21,27,19,40,19,26,39
min_child_weight,0.001,9.242889400115411,1.7086371147710795,0.001,1.683191484205273,1.8110871204687555,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3686,3529,4301,3282,4301,2976,3725
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,20,13,13,7,13,3,8
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,1.266717340214383,1.8740622569248186,3.858802362848003,0.0,3.858802362848003,4.0,2.038204453073899
reg_lambda,4.0,3.2608418976021243,1.7844651545003276,3.6772942296237723,1.7844651545003276,0.9242250514951103,1.7813856167313924
scale_pos_weight,0.793330362161573,0.7892600062914028,0.765357711438728,0.7710352612494611,0.765357711438728,1.3471879719379518,0.8500527551388624
silent,warn,warn,warn,warn,warn,warn,warn
subsample,0.005,0.3982415029612957,0.06314545840194703,0.07330083563870664,0.06314545840194703,1.0,0.9969204043266121
subsample_for_bin,432982,306651,390404,500000,390404,297000,192030
subsample_freq,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0
best_score,0.5398767898767899,0.6091686091686092,0.5584045584045584,0.5686274509803921,0.5584045584045584,0.5854406130268198,0.5601851851851852
best_index,43.0,6.0,3.0,18.0,3.0,47.0,2.0
acc_train,0.949748743718593,0.7738693467336684,0.7236180904522613,0.6934673366834171,0.7236180904522613,0.7437185929648241,0.7738693467336684
acc_val,0.54,0.62,0.56,0.6,0.56,0.56,0.62
acc_test,0.6190476190476191,0.6190476190476191,0.6349206349206349,0.6031746031746031,0.6349206349206349,0.6349206349206349,0.6190476190476191
precision,0.6,0.6428571428571429,0.6923076923076923,0.6363636363636364,0.6923076923076923,0.5806451612903226,0.6666666666666666
recall,0.42857142857142855,0.32142857142857145,0.32142857142857145,0.25,0.32142857142857145,0.6428571428571429,0.2857142857142857
f1score,0.5,0.4285714285714286,0.4390243902439025,0.358974358974359,0.4390243902439025,0.6101694915254238,0.4
roc,0.6000000000000001,0.5892857142857143,0.6035714285714285,0.5678571428571428,0.6035714285714285,0.6357142857142857,0.5857142857142856
tn,27.0,30.0,31.0,31.0,31.0,22.0,31.0
fp,8.0,5.0,4.0,4.0,4.0,13.0,4.0
fn,16.0,19.0,19.0,21.0,19.0,10.0,20.0
tp,12.0,9.0,9.0,7.0,9.0,18.0,8.0
acc_test1,0.7142857142857143,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6190476190476191
precision1,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5,0.5
recall1,0.5,0.25,0.375,0.125,0.375,0.5,0.25
f1score1,0.5714285714285715,0.3333333333333333,0.42857142857142855,0.18181818181818182,0.42857142857142855,0.5,0.3333333333333333
roc1,0.673076923076923,0.5480769230769231,0.5721153846153845,0.4855769230769231,0.5721153846153845,0.596153846153846,0.5480769230769231
tn1,11.0,11.0,10.0,11.0,10.0,9.0,11.0
fp1,2.0,2.0,3.0,2.0,3.0,4.0,2.0
fn1,4.0,6.0,5.0,7.0,5.0,4.0,6.0
tp1,4.0,2.0,3.0,1.0,3.0,4.0,2.0
acc_test2,0.7142857142857143,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7142857142857143
precision2,0.625,0.5714285714285714,0.8,0.6666666666666666,0.8,0.5384615384615384,0.6666666666666666
recall2,0.625,0.5,0.5,0.5,0.5,0.875,0.5
f1score2,0.625,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.6153846153846154,0.6666666666666667,0.5714285714285715
roc2,0.6971153846153846,0.6346153846153846,0.7115384615384616,0.673076923076923,0.7115384615384616,0.7067307692307692,0.673076923076923
tn2,10.0,10.0,12.0,11.0,12.0,7.0,11.0
fp2,3.0,3.0,1.0,2.0,1.0,6.0,2.0
fn2,3.0,4.0,4.0,4.0,4.0,1.0,4.0
tp2,5.0,4.0,4.0,4.0,4.0,7.0,4.0
acc_test3,0.42857142857142855,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.5238095238095238
precision3,0.5,1.0,1.0,1.0,1.0,0.7,1.0
recall3,0.25,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.16666666666666666
f1score3,0.3333333333333333,0.4,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6363636363636365,0.2857142857142857
roc3,0.4583333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6250000000000001,0.5833333333333334
tn3,6.0,9.0,9.0,9.0,9.0,6.0,9.0
fp3,3.0,0.0,0.0,0.0,0.0,3.0,0.0
fn3,9.0,9.0,10.0,10.0,10.0,5.0,10.0
tp3,3.0,3.0,2.0,2.0,2.0,7.0,2.0
