parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.25,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.007,0.011,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004
max_depth,,,2,2,2,2,2,2,2,2
min_child_samples,20,20,20,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,,,,,,,,,,
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,2,4,4,4,4,4,4,4,4,4
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,,,,,,,,,,
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0,0,0,0
andom_state,42,42,42,42,42,42,42,42,42,42
max_delta_step,0.5,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
num_iterations,5,100,150,150,150,150,150,150,150,150
scale_pos_weight,2,2,2,2,2,2,2,2,2,2
best_score,0.6869565217391305,0.7652173913043478,0.791304347826087,0.791304347826087,0.791304347826087,0.791304347826087,0.791304347826087,0.791304347826087,0.791304347826087,0.791304347826087
best_index,0.0,89312.0,157488.0,106088.0,106088.0,106088.0,106088.0,106088.0,106088.0,106088.0
acc_train,0.6869565217391305,0.8434782608695652,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739
acc_val,0.6896551724137931,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413
acc_test,0.6216216216216216,0.6756756756756757,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.7297297297297297
precision,0.0,0.75,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
recall,0.0,0.21428571428571427,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
f1score,0.0,0.3333333333333333,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
roc,0.5,0.5854037267080745,0.7127329192546584,0.7127329192546584,0.7127329192546584,0.7127329192546584,0.7127329192546584,0.7127329192546584,0.7127329192546584,0.7127329192546584
tn,23.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
fp,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
fn,14.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
tp,0.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
