parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.5,0.35,0.3,0.4
importance_type,split,split,split,split
learning_rate,0.07,0.11000000000000001,0.51,0.71
max_depth,,,,
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,,,,
n_jobs,-1,-1,-1,-1
num_leaves,4,4,3,4
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn
subsample,,,,
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
max_delta_step,0.9,0.9,0.6,0.6
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
num_iterations,100,150,300,200
scale_pos_weight,10,10,10,10
best_score,0.48913308913308917,0.5957575757575757,0.6904761904761905,0.7285714285714285
best_index,11766.0,94768.0,44204.0,52424.0
acc_train,0.8869565217391304,0.6869565217391305,0.6869565217391305,1.0
acc_val,0.7931034482758621,0.6896551724137931,0.6896551724137931,0.8620689655172413
acc_test,0.5945945945945946,0.6216216216216216,0.6216216216216216,0.6756756756756757
precision,0.4782608695652174,0.0,0.0,0.5714285714285714
recall,0.7857142857142857,0.0,0.0,0.5714285714285714
f1score,0.5945945945945946,0.0,0.0,0.5714285714285714
roc,0.6319875776397516,0.5,0.5,0.65527950310559
tn,11.0,23.0,23.0,17.0
fp,12.0,0.0,0.0,6.0
fn,3.0,14.0,14.0,6.0
tp,11.0,0.0,0.0,8.0
