parameter,value1,value2,value3,value4,value5,value6,value7
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,
colsample_bytree,0.3,0.35,0.4,0.35,0.35,0.35,0.35
importance_type,split,split,split,split,split,split,split
learning_rate,0.075,0.095,0.135,0.335,0.335,0.335,0.335
max_depth,,2,,2,2,2,2
min_child_samples,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,,,,,,,
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,3,4,3,4,4,4,4
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn
subsample,,,,,,,
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0
max_delta_step,0.9,0.9,0.7,0.9,0.9,0.9,0.9
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
num_iterations,200,300,400,300,300,300,300
scale_pos_weight,10,10,10,10,10,10,10
best_score,0.5844877344877345,0.6176190476190476,0.6478571428571429,0.6985714285714286,0.6985714285714286,0.6985714285714286,0.6985714285714286
best_index,1683.0,39920.0,93164.0,39896.0,61708.0,61708.0,61708.0
acc_train,0.9826086956521739,1.0,1.0,1.0,1.0,1.0,1.0
acc_val,0.7931034482758621,0.8620689655172413,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413
acc_test,0.6486486486486487,0.6756756756756757,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027
precision,0.5238095238095238,0.5625,0.6,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
recall,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
f1score,0.6285714285714286,0.6000000000000001,0.6206896551724138,0.5925925925925927,0.5925925925925927,0.5925925925925927,0.5925925925925927
roc,0.6754658385093169,0.6692546583850931,0.6909937888198757,0.6770186335403727,0.6770186335403727,0.6770186335403727,0.6770186335403727
tn,13.0,16.0,17.0,18.0,18.0,18.0,18.0
fp,10.0,7.0,6.0,5.0,5.0,5.0,5.0
fn,3.0,5.0,5.0,6.0,6.0,6.0,6.0
tp,11.0,9.0,9.0,8.0,8.0,8.0,8.0
