parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,True,False,True,True,False
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,dart,dart,dart,dart,gbdt
class_weight,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.9114004642161373,1.0,1.0,0.5,0.9220117171572619,0.8467801695580528
cv,5,5,5,5,5,5
cv,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split
iterations,50,50,50,50,50,50
iterations,50,50,50,50,50,50
learning_rate,0.0006701002412431369,0.0001,0.00035335267769234194,0.00024236834082908926,0.0001,0.00021843406125407155
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,597,1000,1200,1187,184,655
max_bin,"(100, 1000)","(100, 1000)","(100, 1200)","(100, 1300)","(100, 1300)","(100, 1300)"
max_depth,15,0,50,39,44,48
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,33,26,25,17,40,12
min_child_weight,,,,,,"(0.001, 10.0)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,1.0799335360941722
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,700,4016,700,2319,2493,1083
n_jobs,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98
num_col,98,98,98,98,98,98
num_leaves,3,20,20,3,4,5
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,1.98284618415712,0.9551416152079217,0.009209660406914745,0.785945011966728,0.4640332448682554,1.5585202742201387
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')"
reg_lambda,4.0,2.0,2.0,1.3432242066195559,3.0,2.2592957327742367
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.6536674179233207,0.8458632045111616,0.7942280310794672,0.7270673952538858,0.9067668785884377,0.8581877178456845
scoring,precision,precision,precision,precision,accuracy,precision
scoring,precision,precision,precision,precision,accuracy,precision
silent,warn,warn,warn,warn,warn,warn
subsample,0.37985676465751905,0.005,0.005,0.568875158623307,0.005,0.005
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,351390,387031,314943,369161,100000,461313
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.67,0.6049762329174094,0.607626050420168,0.5842857142857143,0.5751885369532428,0.5823923444976076
best_index,44.0,41.0,12.0,43.0,32.0,32.0
acc_train,0.5914396887159533,0.7354085603112841,0.7587548638132295,0.5875486381322957,0.6964980544747081,0.7315175097276264
acc_val,0.631578947368421,0.6842105263157895,0.6842105263157895,0.631578947368421,0.47368421052631576,0.6842105263157895
acc_test,0.5238095238095238,0.42857142857142855,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.5238095238095238
train_precision,0.75,0.8,0.7938144329896907,0.782608695652174,0.7157894736842105,0.7403846153846154
train_tn,131.0,121.0,118.0,133.0,111.0,111.0
train_fp,7.0,17.0,20.0,5.0,27.0,27.0
train_fn,98.0,51.0,42.0,101.0,51.0,42.0
train_tp,21.0,68.0,77.0,18.0,68.0,77.0
val_precision,0.5,0.6,0.6,0.5,0.2857142857142857,0.5714285714285714
val_tn,11.0,10.0,10.0,11.0,7.0,9.0
val_fp,1.0,2.0,2.0,1.0,5.0,3.0
val_fn,6.0,4.0,4.0,6.0,5.0,3.0
val_tp,1.0,3.0,3.0,1.0,2.0,4.0
test_precision,0.0,0.4,0.4444444444444444,0.0,0.5,0.5
recall,0.0,0.4,0.4,0.0,0.3,0.4
f1score,0.0,0.4000000000000001,0.4210526315789474,0.0,0.37499999999999994,0.4444444444444445
roc,0.5,0.42727272727272725,0.47272727272727266,0.5,0.5136363636363637,0.5181818181818182
test_tn,11.0,5.0,6.0,11.0,8.0,7.0
test_fp,0.0,6.0,5.0,0.0,3.0,4.0
test_fn,10.0,6.0,6.0,10.0,7.0,6.0
test_tp,0.0,4.0,4.0,0.0,3.0,4.0
