parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,False,True,True,False,False,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,gbdt,gbdt,dart,gbdt,dart,dart
class_weight,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.7188305850274599,0.6223338025597681,0.5,0.7188305850274599,0.5,0.5,0.7188305850274599
cv,3,3,3,3,3,3,3
cv,3,3,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,50,50,60,50,50,50
iterations,50,50,50,60,50,50,50
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.004,0.0010177732701996997,0.0001,0.004,0.0001,0.0001,0.004
max_bin,221,671,715,221,1000,912,221
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,36,36,13,36,22,50,36
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,33,16,5,23,40,5
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 3000)","(700, 5000)","(700, 5000)","(700, 6000)","(700, 5000)"
n_estimators,1571,4780,2924,1571,700,700,1571
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,3,19,14,3,3,3,3
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_alpha,2.993750811737431,4.0,2.907526780279315,2.993750811737431,0.0,1.9531599136866238,2.993750811737431
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,2.911741720733653,0.0,4.0,2.911741720733653,2.0,0.049681948175015256,2.911741720733653
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.5994260987947442,1.1230298773658445,0.7443191217631722,0.5994260987947442,0.8207586293079232,0.7298233178719951,0.5994260987947442
scoring,precision,accuracy,precision,precision,precision,precision,precision
scoring,precision,accuracy,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,1.0,0.04061950899687703,0.707982389029458,1.0,0.8557416720274973,0.5344407271352872,1.0
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_for_bin,260724,500000,304058,260724,100000,281873,260724
subsample_freq,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0
best_score,0.7166666666666667,0.6201567917985829,0.6903594771241829,0.7166666666666667,0.6454826038159371,0.651169590643275,0.7166666666666667
best_index,49.0,30.0,23.0,49.0,22.0,19.0,49.0
acc_train,0.63,0.87,0.76,0.63,0.73,0.675,0.63
acc_val,0.58,0.48,0.6,0.58,0.58,0.56,0.58
acc_test,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6507936507936508,0.6349206349206349,0.5714285714285714
precision,0.8333333333333334,0.5555555555555556,0.6428571428571429,0.8333333333333334,0.6551724137931034,0.6666666666666666,0.8333333333333334
recall,0.16129032258064516,0.6451612903225806,0.2903225806451613,0.16129032258064516,0.6129032258064516,0.5161290322580645,0.16129032258064516
f1score,0.27027027027027023,0.5970149253731343,0.4,0.27027027027027023,0.6333333333333333,0.5818181818181819,0.27027027027027023
roc,0.5650201612903226,0.5725806451612903,0.5670362903225806,0.5650201612903226,0.6502016129032258,0.6330645161290323,0.5650201612903226
tn,31.0,16.0,27.0,31.0,22.0,24.0,31.0
fp,1.0,16.0,5.0,1.0,10.0,8.0,1.0
fn,26.0,11.0,22.0,26.0,12.0,15.0,26.0
tp,5.0,20.0,9.0,5.0,19.0,16.0,5.0
acc_test1,0.6190476190476191,0.5238095238095238,0.47619047619047616,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6190476190476191
precision1,1.0,0.5,0.4,1.0,0.5,0.5714285714285714,1.0
recall1,0.2,0.5,0.2,0.2,0.5,0.4,0.2
f1score1,0.33333333333333337,0.5,0.26666666666666666,0.33333333333333337,0.5,0.47058823529411764,0.33333333333333337
roc1,0.6,0.5227272727272727,0.4636363636363636,0.6,0.5227272727272727,0.5636363636363636,0.6
tn1,11.0,6.0,8.0,11.0,6.0,8.0,11.0
fp1,0.0,5.0,3.0,0.0,5.0,3.0,0.0
fn1,8.0,5.0,8.0,8.0,5.0,6.0,8.0
tp1,2.0,5.0,2.0,2.0,5.0,4.0,2.0
acc_test2,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.6666666666666666
precision2,0.6666666666666666,0.4666666666666667,0.75,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666
recall2,0.25,0.875,0.375,0.25,0.75,0.625,0.25
f1score2,0.36363636363636365,0.608695652173913,0.5,0.36363636363636365,0.7058823529411765,0.625,0.36363636363636365
roc2,0.5865384615384616,0.6298076923076923,0.6490384615384616,0.5865384615384616,0.7596153846153846,0.6971153846153846,0.5865384615384616
tn2,12.0,5.0,12.0,12.0,10.0,10.0,12.0
fp2,1.0,8.0,1.0,1.0,3.0,3.0,1.0
fn2,6.0,1.0,5.0,6.0,2.0,3.0,6.0
tp2,2.0,7.0,3.0,2.0,6.0,5.0,2.0
acc_test3,0.42857142857142855,0.6190476190476191,0.5238095238095238,0.42857142857142855,0.6666666666666666,0.6190476190476191,0.42857142857142855
precision3,1.0,0.7272727272727273,0.8,1.0,0.8,0.7777777777777778,1.0
recall3,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.5384615384615384,0.07692307692307693
f1score3,0.14285714285714288,0.6666666666666667,0.4444444444444444,0.14285714285714288,0.6956521739130435,0.6363636363636364,0.14285714285714288
roc3,0.5384615384615384,0.6201923076923077,0.5913461538461539,0.5384615384615384,0.6826923076923077,0.6442307692307692,0.5384615384615384
tn3,8.0,5.0,7.0,8.0,6.0,6.0,8.0
fp3,0.0,3.0,1.0,0.0,2.0,2.0,0.0
fn3,12.0,5.0,9.0,12.0,5.0,6.0,12.0
tp3,1.0,8.0,4.0,1.0,8.0,7.0,1.0
