"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","190,500","191,500","192,100","190,200","247.14K","-0.57%"
"2023- 04- 20","191,600","191,700","192,700","189,900","0.07K","0.10%"
"2023- 04- 19","191,400","192,400","192,400","191,400","0.17K","-0.73%"
"2023- 04- 18","192,800","196,100","196,900","191,500","1.01M","-2.13%"
"2023- 04- 17","197,000","198,900","199,200","196,300","0.44K","-1.01%"
"2023- 04- 16","199,000","199,000","199,000","199,000","","0.00%"
"2023- 04- 14","199,000","198,700","200,500","197,000","960.95K","1.32%"
"2023- 04- 13","196,400","196,900","198,700","195,600","0.02K","-0.81%"
"2023- 04- 12","198,000","199,300","200,500","196,900","0.06K","-0.95%"
"2023- 04- 11","199,900","193,300","200,000","193,300","1.13M","3.58%"
"2023- 04- 10","193,000","193,300","193,700","190,500","781.14K","-0.21%"
"2023- 04- 09","193,400","193,400","193,400","193,400","","0.00%"
"2023- 04- 07","193,400","193,000","195,400","192,900","528.79K","0.78%"
"2023- 04- 06","191,900","198,200","198,300","191,900","1.40M","-3.66%"
"2023- 04- 05","199,200","201,000","202,500","199,100","0.13K","-0.90%"
"2023- 04- 04","201,000","198,200","201,000","198,200","0.63K","1.41%"
"2023- 04- 03","198,200","203,500","204,500","198,100","787.87K","-1.88%"
"2023- 04- 02","202,000","202,000","202,000","202,000","","0.00%"
"2023- 03- 31","202,000","203,500","203,500","199,100","933.77K","0.50%"
"2023- 03- 30","201,000","200,500","201,000","198,100","718.03K","0.95%"
"2023- 03- 29","199,100","198,400","201,000","198,300","0.01K","-0.20%"
"2023- 03- 28","199,500","199,600","201,000","197,800","0.08K","0.10%"
"2023- 03- 27","199,300","201,500","202,000","198,200","0.29K","-1.58%"
"2023- 03- 26","202,500","202,500","202,500","202,500","","0.00%"
"2023- 03- 24","202,500","204,500","204,500","200,500","594.07K","-0.74%"
"2023- 03- 23","204,000","204,000","205,000","202,000","602.10K","-1.45%"
"2023- 03- 22","207,000","203,500","207,500","203,000","0.01K","3.24%"
"2023- 03- 21","200,500","203,000","203,500","200,000","0.00K","-0.50%"
"2023- 03- 20","201,500","198,000","204,000","198,000","599.69K","1.77%"
"2023- 03- 19","198,000","198,000","198,000","198,000","","0.00%"
"2023- 03- 17","198,000","201,000","202,000","197,200","766.74K","0.46%"
"2023- 03- 16","197,100","193,700","198,400","192,200","0.01K","0.36%"
"2023- 03- 15","196,400","200,500","201,000","194,500","0.17K","0.20%"
"2023- 03- 14","196,000","200,000","202,000","196,000","753.74K","-3.21%"
"2023- 03- 13","202,500","199,600","203,000","194,600","0.86K","1.35%"
"2023- 03- 12","199,800","199,800","199,800","199,800","","0.00%"
"2023- 03- 10","199,800","198,000","201,000","197,800","829.91K","-1.09%"
"2023- 03- 09","202,000","204,500","206,000","202,000","0.01K","-0.25%"
"2023- 03- 08","202,500","208,500","209,000","202,000","1.01M","-4.03%"
"2023- 03- 07","211,000","214,000","214,500","210,500","636.86K","-1.63%"
"2023- 03- 06","214,500","208,500","214,500","208,500","1.05M","4.38%"
"2023- 03- 05","205,500","205,500","205,500","205,500","","0.00%"
"2023- 03- 03","205,500","207,500","210,500","205,500","725.42K","-0.24%"
"2023- 03- 02","206,000","207,500","209,500","205,000","0.14K","-1.20%"
"2023- 03- 01","208,500","208,500","208,500","208,500","","0.00%"
"2023- 02- 28","208,500","209,500","212,000","207,500","823.56K","0.24%"
"2023- 02- 27","208,000","204,000","209,000","204,000","925.55K","0.00%"
"2023- 02- 26","208,000","208,000","208,000","208,000","","0.00%"
"2023- 02- 24","208,000","213,500","214,000","207,000","846.83K","-2.58%"
"2023- 02- 23","213,500","212,000","214,500","211,000","0.36K","0.95%"
"2023- 02- 22","211,500","211,000","213,500","210,500","0.00K","-1.86%"
"2023- 02- 21","215,500","220,500","220,500","215,000","640.18K","-1.60%"
"2023- 02- 20","219,000","215,500","220,000","213,500","569.22K","1.62%"
"2023- 02- 19","215,500","215,500","215,500","215,500","","0.00%"
"2023- 02- 17","215,500","216,000","219,000","212,000","901.80K","-2.27%"
"2023- 02- 16","220,500","218,000","222,500","218,000","0.13K","2.32%"
"2023- 02- 15","215,500","224,500","224,500","215,000","1.42M","-3.79%"
"2023- 02- 14","224,000","226,500","228,500","223,000","0.06K","0.45%"
"2023- 02- 13","223,000","231,000","231,000","220,500","1.30M","-3.04%"
"2023- 02- 12","230,000","230,000","230,000","230,000","","0.00%"
"2023- 02- 10","230,000","226,000","230,500","222,000","1.32M","0.00%"
"2023- 02- 09","230,000","224,500","230,500","224,000","1.55M","-0.22%"
"2023- 02- 08","230,500","224,500","232,000","224,000","1.77M","5.01%"
"2023- 02- 07","219,500","216,000","220,500","215,000","1.04M","1.86%"
"2023- 02- 06","215,500","221,000","224,500","215,500","1.38M","-3.58%"
"2023- 02- 05","223,500","223,500","223,500","223,500","","0.00%"
"2023- 02- 03","223,500","214,000","225,500","210,500","3.06M","5.67%"
"2023- 02- 02","211,500","213,000","213,500","210,500","1.23M","2.92%"
"2023- 02- 01","205,500","204,500","208,500","202,500","0.05K","1.48%"
"2023- 01- 31","202,500","206,000","208,500","202,000","0.02K","-2.17%"
"2023- 01- 30","207,000","212,000","214,000","206,500","1.16M","-2.13%"
"2023- 01- 29","211,500","211,500","211,500","211,500","","0.00%"
"2023- 01- 27","211,500","204,500","211,500","202,000","1.21M","3.68%"
"2023- 01- 26","204,000","202,500","204,000","199,900","869.94K","0.99%"
"2023- 01- 25","202,000","200,000","203,500","199,600","0.06K","3.06%"
"2023- 01- 20","196,000","195,500","201,000","195,000","784.16K","0.00%"
"2023- 01- 19","196,000","194,000","196,000","193,000","0.32K","0.26%"
"2023- 01- 18","195,500","193,500","196,000","193,000","0.02K","1.03%"
"2023- 01- 17","193,500","201,000","201,000","193,500","969.54K","-3.49%"
"2023- 01- 16","200,500","197,000","201,000","195,000","1.01K","2.82%"
"2023- 01- 15","195,000","195,000","195,000","195,000","","0.00%"
"2023- 01- 13","195,000","196,000","200,500","195,000","862.62K","0.52%"
"2023- 01- 12","194,000","198,000","199,000","194,000","0.01K","-0.51%"
"2023- 01- 11","195,000","197,500","200,500","194,500","1.03M","1.04%"
"2023- 01- 10","193,000","193,000","196,000","190,500","833.45K","-1.78%"
"2023- 01- 09","196,500","189,500","196,500","189,000","0.32K","6.22%"
