"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","142,300","145,200","145,500","142,300","318.67K","-2.06%"
"2023- 04- 20","145,300","145,900","146,600","144,800","0.31K","-0.68%"
"2023- 04- 19","146,300","147,800","148,900","145,200","0.00K","-0.88%"
"2023- 04- 18","147,600","151,800","151,900","147,000","680.14K","-2.77%"
"2023- 04- 17","151,800","154,400","154,600","151,700","0.09K","-1.62%"
"2023- 04- 16","154,300","154,300","154,300","154,300","","0.00%"
"2023- 04- 14","154,300","154,000","154,700","153,100","373.33K","0.65%"
"2023- 04- 13","153,300","152,000","153,900","151,900","294.05K","0.46%"
"2023- 04- 12","152,600","154,000","154,500","152,000","0.00K","-1.23%"
"2023- 04- 11","154,500","154,200","155,400","153,600","368.23K","0.72%"
"2023- 04- 10","153,400","153,100","154,400","152,200","314.99K","-0.32%"
"2023- 04- 09","153,900","153,900","153,900","153,900","","0.00%"
"2023- 04- 07","153,900","153,700","155,100","152,800","338.95K","0.98%"
"2023- 04- 06","152,400","157,000","157,000","152,100","501.55K","-3.42%"
"2023- 04- 05","157,800","151,400","158,000","151,000","0.18K","4.30%"
"2023- 04- 04","151,300","155,100","155,100","150,700","0.13K","-2.58%"
"2023- 04- 03","155,300","153,600","155,400","152,100","390.72K","1.70%"
"2023- 04- 02","152,700","152,700","152,700","152,700","","0.00%"
"2023- 03- 31","152,700","153,600","154,100","152,100","277.56K","-0.20%"
"2023- 03- 30","153,000","155,300","156,800","153,000","0.00K","-0.97%"
"2023- 03- 29","154,500","155,400","155,800","152,900","0.00K","-0.58%"
"2023- 03- 28","155,400","155,100","155,900","153,200","0.27K","0.32%"
"2023- 03- 27","154,900","156,500","156,600","153,800","0.15K","0.00%"
"2023- 03- 24","154,900","151,900","155,200","150,000","639.95K","2.24%"
"2023- 03- 23","151,500","149,200","152,700","149,200","310.45K","0.60%"
"2023- 03- 22","150,600","151,100","151,300","148,900","276.71K","0.27%"
"2023- 03- 21","150,200","151,800","152,100","149,000","0.00K","-0.07%"
"2023- 03- 20","150,300","152,400","152,800","150,000","190.95K","-1.76%"
"2023- 03- 19","153,000","153,000","153,000","153,000","","0.00%"
"2023- 03- 17","153,000","151,000","154,500","151,000","456.24K","1.66%"
"2023- 03- 16","150,500","148,300","151,400","147,600","0.00K","0.53%"
"2023- 03- 15","149,700","151,000","151,000","148,400","0.07K","-0.13%"
"2023- 03- 14","149,900","151,100","153,200","149,900","414.95K","-1.96%"
"2023- 03- 13","152,900","147,500","152,900","147,200","0.13K","2.96%"
"2023- 03- 12","148,500","148,500","148,500","148,500","","0.00%"
"2023- 03- 10","148,500","149,500","150,700","146,500","445.66K","-2.75%"
"2023- 03- 09","152,700","154,000","155,300","151,300","0.00K","0.46%"
"2023- 03- 08","152,000","149,200","152,500","149,100","301.83K","0.40%"
"2023- 03- 07","151,400","152,300","152,700","149,600","321.89K","-0.98%"
"2023- 03- 06","152,900","147,500","153,000","145,900","644.58K","4.08%"
"2023- 03- 03","146,900","145,100","147,200","144,500","232.48K","1.66%"
"2023- 03- 02","144,500","144,100","147,000","144,100","243.78K","0.35%"
"2023- 03- 01","144,000","144,000","144,000","144,000","","0.00%"
"2023- 02- 28","144,000","147,200","147,900","144,000","412.95K","-1.97%"
"2023- 02- 27","146,900","147,500","148,000","145,800","198.06K","-0.41%"
