"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","190,100","191,200","191,500","188,300","281.09K","-1.25%"
"2023- 04- 20","192,500","193,000","194,100","191,400","0.04K","-0.57%"
"2023- 04- 19","193,600","191,500","194,200","190,300","0.05K","1.15%"
"2023- 04- 18","191,400","192,700","193,000","188,200","960.04K","-1.85%"
"2023- 04- 17","195,000","195,300","196,100","193,800","0.09K","-0.56%"
"2023- 04- 16","196,100","196,100","196,100","196,100","","0.00%"
"2023- 04- 14","196,100","199,500","199,700","196,000","667.02K","-1.41%"
"2023- 04- 13","198,900","199,000","199,900","196,200","820.36K","0.35%"
"2023- 04- 12","198,200","194,800","199,500","194,600","1.47K","3.18%"
"2023- 04- 11","192,100","186,600","192,400","185,100","1.06M","3.34%"
"2023- 04- 10","185,900","186,000","188,500","184,200","479.26K","0.43%"
"2023- 04- 09","185,100","185,100","185,100","185,100","","0.00%"
"2023- 04- 07","185,100","185,400","186,500","184,600","434.97K","0.00%"
"2023- 04- 06","185,100","186,900","189,400","184,700","666.18K","-0.86%"
"2023- 04- 05","186,700","184,900","187,200","184,000","0.14K","1.58%"
"2023- 04- 04","183,800","184,000","186,500","183,300","0.18K","0.11%"
"2023- 04- 03","183,600","184,600","185,500","182,300","529.88K","-0.49%"
"2023- 04- 02","184,500","184,500","184,500","184,500","","0.00%"
"2023- 03- 31","184,500","182,000","184,900","181,900","655.92K","1.82%"
"2023- 03- 30","181,200","179,200","181,900","178,800","0.04K","0.44%"
"2023- 03- 29","180,400","177,000","180,700","176,500","0.10K","1.86%"
"2023- 03- 28","177,100","177,000","178,000","175,800","0.32K","0.57%"
"2023- 03- 27","176,100","177,700","177,700","174,800","0.41K","-0.90%"
"2023- 03- 26","177,700","177,700","177,700","177,700","","0.00%"
"2023- 03- 24","177,700","180,600","180,600","175,300","648.26K","-1.55%"
"2023- 03- 23","180,500","179,300","182,400","178,700","589.57K","0.11%"
"2023- 03- 22","180,300","177,100","180,500","176,700","0.03K","2.56%"
"2023- 03- 21","175,800","176,000","176,900","174,800","0.04K","0.40%"
"2023- 03- 20","175,100","176,500","177,000","174,800","365.35K","-0.85%"
"2023- 03- 19","176,600","176,600","176,600","176,600","","0.00%"
"2023- 03- 17","176,600","175,200","176,600","173,200","506.64K","1.49%"
"2023- 03- 16","174,000","172,800","174,800","171,800","0.00K","-0.17%"
"2023- 03- 15","174,300","172,700","175,500","172,700","0.11K","1.93%"
"2023- 03- 14","171,000","175,200","175,900","170,500","587.94K","-2.84%"
"2023- 03- 13","176,000","174,400","176,300","173,500","0.18K","0.57%"
"2023- 03- 12","175,000","175,000","175,000","175,000","","0.00%"
"2023- 03- 10","175,000","174,700","176,700","174,600","442.67K","-0.74%"
"2023- 03- 09","176,300","176,600","180,300","175,700","0.02K","0.80%"
"2023- 03- 08","174,900","174,300","176,100","174,100","488.82K","-0.11%"
"2023- 03- 07","175,100","176,500","177,500","175,100","461.31K","-1.35%"
"2023- 03- 06","177,500","177,800","178,500","176,000","546.11K","0.80%"
"2023- 03- 05","176,100","176,100","176,100","176,100","","0.00%"
"2023- 03- 03","176,100","177,500","178,200","175,000","547.94K","-1.34%"
"2023- 03- 02","178,500","176,600","179,800","176,600","0.67K","1.25%"
"2023- 03- 01","176,300","176,300","176,300","176,300","","0.00%"
"2023- 02- 28","176,300","174,100","178,100","174,000","759.99K","1.73%"
"2023- 02- 27","173,300","173,100","173,600","170,200","426.38K","-0.35%"
"2023- 02- 26","173,900","173,900","173,900","173,900","","0.00%"
"2023- 02- 24","173,900","176,200","177,300","173,800","359.49K","-1.31%"
"2023- 02- 23","176,200","174,400","178,600","174,300","0.08K","1.15%"
"2023- 02- 22","174,200","175,900","176,900","174,000","0.01K","-2.24%"
"2023- 02- 21","178,200","178,500","179,000","175,500","452.64K","0.00%"
"2023- 02- 20","178,200","179,400","179,400","176,600","404.22K","-0.45%"
"2023- 02- 19","179,000","179,000","179,000","179,000","","0.00%"
"2023- 02- 17","179,000","177,400","179,800","177,000","456.81K","-0.17%"
"2023- 02- 16","179,300","173,400","180,000","173,300","0.01K","3.82%"
"2023- 02- 15","172,700","174,600","175,300","171,800","450.34K","-0.58%"
"2023- 02- 14","173,700","172,900","175,700","172,700","501.94K","1.22%"
"2023- 02- 13","171,600","172,700","174,300","171,300","371.53K","-1.04%"
"2023- 02- 12","173,400","173,400","173,400","173,400","","0.00%"
"2023- 02- 10","173,400","171,600","173,500","171,100","371.97K","0.46%"
"2023- 02- 09","172,600","171,900","174,000","171,500","581.47K","-0.06%"
"2023- 02- 08","172,700","171,500","173,000","170,200","441.79K","1.29%"
"2023- 02- 07","170,500","171,000","171,200","169,500","531.66K","-0.12%"
"2023- 02- 06","170,700","174,000","174,700","170,700","581.43K","-1.22%"
"2023- 02- 05","172,800","172,800","172,800","172,800","","0.00%"
"2023- 02- 03","172,800","170,100","174,500","169,600","767.05K","1.71%"
"2023- 02- 02","169,900","171,500","172,900","169,300","546.24K","-0.06%"
"2023- 02- 01","170,000","169,100","171,400","168,700","0.00K","1.80%"
"2023- 01- 31","167,000","169,100","170,400","167,000","0.00K","-1.76%"
"2023- 01- 30","170,000","174,400","175,700","169,400","789.62K","-2.24%"
"2023- 01- 29","173,900","173,900","173,900","173,900","","0.00%"
"2023- 01- 27","173,900","177,000","177,600","173,300","1.15M","-0.57%"
"2023- 01- 26","174,900","166,600","176,200","166,600","1.68M","5.55%"
"2023- 01- 25","165,700","166,100","166,500","165,200","357.48K","0.73%"
"2023- 01- 24","164,500","164,500","164,500","164,500","","0.00%"
"2023- 01- 20","164,500","163,000","164,500","163,000","294.93K","0.30%"
"2023- 01- 19","164,000","162,500","164,000","162,000","0.03K","-0.30%"
"2023- 01- 18","164,500","166,500","166,500","162,500","0.02K","-0.90%"
"2023- 01- 17","166,000","166,500","167,000","164,500","449.99K","-0.30%"
"2023- 01- 16","166,500","167,000","167,500","163,500","0.32K","-1.48%"
"2023- 01- 15","169,000","169,000","169,000","169,000","","0.00%"
"2023- 01- 13","169,000","167,500","170,000","167,000","705.94K","1.50%"
"2023- 01- 12","166,500","166,000","168,000","164,500","868.00K","1.52%"
"2023- 01- 11","164,000","163,500","165,000","163,000","365.93K","0.61%"
"2023- 01- 10","163,000","162,500","164,000","161,500","409.41K","-0.61%"
"2023- 01- 09","164,000","161,000","164,500","160,000","0.01K","2.82%"
"2023- 01- 06","159,500","157,500","161,500","157,500","499.83K","0.31%"
"2023- 01- 05","159,000","161,000","161,500","158,000","0.20K","-0.93%"
"2023- 01- 04","160,500","157,500","161,000","157,500","460.10K","0.94%"
"2023- 01- 03","159,000","158,500","160,500","156,000","0.64K","1.27%"
"2023- 01- 02","157,000","154,000","161,000","154,000","1.13M","3.97%"
"2022- 12- 29","151,000","153,000","154,000","150,500","544.92K","-1.95%"
"2022- 12- 28","154,000","156,000","156,000","154,000","0.14K","-2.53%"
"2022- 12- 27","158,000","158,500","160,000","157,000","0.04K","0.00%"
