"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","65,500","65,700","65,900","65,400","6.16M","0.31%"
"2023- 04- 20","65,300","65,100","65,300","64,600","0.69K","-0.31%"
"2023- 04- 19","65,500","65,500","65,800","65,300","10.24M","-0.15%"
"2023- 04- 18","65,600","65,900","66,000","64,800","14.76M","0.46%"
"2023- 04- 17","65,300","64,900","65,600","64,700","4.08K","0.31%"
"2023- 04- 16","65,100","65,100","65,100","65,100","","0.00%"
"2023- 04- 14","65,100","66,600","66,600","65,000","15.49M","-1.51%"
"2023- 04- 13","66,100","65,600","66,100","65,400","1.44K","0.15%"
"2023- 04- 12","66,000","65,700","66,200","65,300","0.83K","0.15%"
"2023- 04- 11","65,900","66,200","66,200","65,400","16.18M","0.30%"
"2023- 04- 10","65,700","64,800","66,300","64,700","18.73M","1.08%"
"2023- 04- 09","65,000","65,000","65,000","65,000","","0.00%"
"2023- 04- 07","65,000","63,800","65,200","63,800","27.42M","4.33%"
"2023- 04- 06","62,300","63,500","63,600","62,300","14.97M","-2.50%"
"2023- 04- 05","63,900","63,700","64,000","63,400","0.73K","0.47%"
"2023- 04- 04","63,600","63,300","63,800","62,900","1.07K","0.79%"
"2023- 04- 03","63,100","64,000","64,000","63,000","11.94M","-1.41%"
"2023- 04- 02","64,000","64,000","64,000","64,000","","0.00%"
"2023- 03- 31","64,000","64,000","64,000","63,700","13.36M","1.27%"
"2023- 03- 30","63,200","63,700","63,700","63,100","1.47K","0.80%"
"2023- 03- 29","62,700","62,500","62,700","62,200","0.28K","-0.32%"
"2023- 03- 28","62,900","62,400","62,900","62,100","2.73K","1.29%"
"2023- 03- 27","62,100","62,700","62,800","62,000","3.85K","-1.43%"
"2023- 03- 26","63,000","63,000","63,000","63,000","","0.00%"
"2023- 03- 24","63,000","62,700","63,300","62,300","17.46M","1.12%"
"2023- 03- 23","62,300","60,600","62,300","60,600","15.30M","1.96%"
"2023- 03- 22","61,100","61,000","61,200","60,500","0.52K","1.33%"
"2023- 03- 21","60,300","60,500","60,700","60,100","0.07K","0.17%"
"2023- 03- 20","60,200","61,100","61,200","60,200","9.56M","-1.79%"
"2023- 03- 19","61,300","61,300","61,300","61,300","","0.00%"
"2023- 03- 17","61,300","60,800","61,300","60,600","13.81M","2.34%"
"2023- 03- 16","59,900","59,200","60,200","59,100","0.07K","0.17%"
"2023- 03- 15","59,800","60,000","60,300","59,600","4.52K","1.36%"
"2023- 03- 14","59,000","59,400","59,500","59,000","11.22M","-1.67%"
"2023- 03- 13","60,000","59,900","60,200","59,300","3.34K","0.84%"
"2023- 03- 12","59,500","59,500","59,500","59,500","","0.00%"
"2023- 03- 10","59,500","59,500","59,700","59,100","11.83M","-1.00%"
"2023- 03- 09","60,100","60,500","60,800","59,900","1.51K","-0.33%"
"2023- 03- 08","60,300","60,100","60,500","59,900","13.91M","-0.66%"
"2023- 03- 07","60,700","61,400","61,400","60,700","11.45M","-1.30%"
"2023- 03- 06","61,500","61,100","61,600","60,800","13.14M","1.65%"
"2023- 03- 05","60,500","60,500","60,500","60,500","","0.00%"
"2023- 03- 03","60,500","61,000","61,200","60,500","10.64M","-0.49%"
"2023- 03- 02","60,800","60,900","61,800","60,500","13.02M","0.33%"
"2023- 03- 01","60,600","60,600","60,600","60,600","","0.00%"
"2023- 02- 28","60,600","60,800","61,400","60,500","11.77M","0.17%"
"2023- 02- 27","60,500","60,800","60,800","60,200","11.11M","-1.31%"
"2023- 02- 26","61,300","61,300","61,300","61,300","","0.00%"
"2023- 02- 24","61,300","62,300","62,600","61,300","10.13M","-1.13%"
