parameter,value1
cv,3
iterations,50
num_col,98
scoring,precision
boost_from_average,True
boosting_type,gbdt
class_weight,
colsample_bytree,0.06725902934114698
force_col_wise,true
importance_type,split
learning_rate,0.0008480630832926448
max_bin,269
max_depth,26
metric,binary_logloss
min_child_samples,11
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2541
n_jobs,-1
num_leaves,11
objective,binary
random_state,42
reg_alpha,3.000937259850741
reg_lambda,2.1812876737584275
scale_pos_weight,0.48553031106774847
silent,warn
subsample,0.47009098174634656
subsample_for_bin,332025
subsample_freq,0
verbose,1
best_score,1.0
best_index,48.0
acc_train,0.6195652173913043
acc_val,0.5531914893617021
acc_test,0.4482758620689655
precision,1.0
recall,0.030303030303030304
f1score,0.05882352941176471
roc,0.5151515151515151
tn,25.0
fp,0.0
fn,32.0
tp,1.0
acc_test1,0.3684210526315789
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.5
tn1,7.0
fp1,0.0
fn1,12.0
tp1,0.0
acc_test2,0.3684210526315789
precision2,1.0
recall2,0.07692307692307693
f1score2,0.14285714285714288
roc2,0.5384615384615384
tn2,6.0
fp2,0.0
fn2,12.0
tp2,1.0
acc_test3,0.6
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.5
tn3,12.0
fp3,0.0
fn3,8.0
tp3,0.0
