parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,
colsample_bytree,0.9332036588535947,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.9332036588535947,0.9332036588535947,0.9332036588535947,0.9332036588535947,0.1677891427453575,0.1677891427453575
importance_type,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0019162589666810593,0.0019162589666810593,0.0019162589666810593,0.0019162589666810593,0.0011847240811834723,0.0011847240811834723,0.0011847240811834723,0.0011847240811834723,0.0019162589666810593,0.0019162589666810593
max_depth,18,23,23,23,23,18,18,18,18,23,23
min_child_samples,16,32,32,32,32,16,16,16,16,32,32
min_child_weight,0.001,6,5,5,5,0.001,0.001,0.001,0.001,5,6
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2190,3232,3232,3232,3232,3486,3486,3486,3486,3232,3232
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,10,10,10,10,10,10,10,10,10,10
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,
reg_alpha,0.30000000000000004,0.9,0.9,1.4000000000000001,1.4000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.9,0.9
reg_lambda,1.2000000000000002,1.8,1.8,4.7,2.8000000000000003,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.8,1.8
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.6487712293279236,0.6487712293279236,0.6487712293279236,0.6487712293279236,0.6684947525293031,0.6684947525293031,0.6684947525293031,0.6684947525293031,0.6487712293279236,0.6487712293279236
subsample_for_bin,373099,949309,949309,949309,949309,373099,373099,373099,373099,477471,477471
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,True,True,True,True,False,False,False,False,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
max_bin,473,435,435,435,435,473,473,473,473,435,435
scale_pos_weight,0.30000000000000004,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.6000000000000001,0.6000000000000001
cv,5,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,105,105,106,106,106
iterations,10,10,10,10,10,10,10,10,10,10,10
best_score,0.6761904761904762,0.6388888888888888,0.6297979797979798,0.6411111111111112,0.6595238095238096,0.7023809523809524,0.7055555555555556,0.7055555555555556,0.7055555555555556,0.6418831168831168,0.6408369408369408
best_index,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0
acc_train,0.7758620689655172,0.8448275862068966,0.867816091954023,0.7816091954022989,0.7931034482758621,0.867816091954023,0.8735632183908046,0.8735632183908046,0.8735632183908046,0.8620689655172413,0.8563218390804598
acc_val,0.5,0.5909090909090909,0.5681818181818182,0.5454545454545454,0.5681818181818182,0.5,0.5,0.5,0.5,0.5,0.5
acc_test,0.4727272727272727,0.509090909090909,0.5454545454545454,0.4909090909090909,0.4909090909090909,0.5636363636363636,0.5454545454545454,0.5454545454545454,0.5636363636363636,0.5636363636363636,0.5636363636363636
precision,0.8181818181818182,0.7647058823529411,0.7894736842105263,0.75,0.75,0.875,0.8666666666666667,0.8666666666666667,0.875,0.8333333333333334,0.8333333333333334
recall,0.25,0.3611111111111111,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3611111111111111,0.3611111111111111,0.3888888888888889,0.4166666666666667,0.4166666666666667
f1score,0.38297872340425526,0.490566037735849,0.5454545454545454,0.46153846153846156,0.46153846153846156,0.5384615384615385,0.5098039215686274,0.5098039215686274,0.5384615384615385,0.5555555555555556,0.5555555555555556
roc,0.5723684210526316,0.5752923976608187,0.6030701754385965,0.5614035087719298,0.5614035087719298,0.6418128654970761,0.6279239766081871,0.6279239766081871,0.6418128654970761,0.6293859649122807,0.6293859649122807
tn,17.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,16.0,16.0
fp,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
fn,27.0,23.0,21.0,24.0,24.0,22.0,23.0,23.0,22.0,21.0,21.0
tp,9.0,13.0,15.0,12.0,12.0,14.0,13.0,13.0,14.0,15.0,15.0
acc_test1,0.4444444444444444,0.5,0.5555555555555556,0.5,0.5,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6111111111111112
precision1,0.8,0.75,0.7777777777777778,0.75,0.75,0.875,0.8571428571428571,0.8571428571428571,0.875,1.0,0.875
recall1,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.5384615384615384
f1score1,0.4444444444444444,0.5714285714285714,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.6666666666666667,0.6,0.6,0.6666666666666667,0.7000000000000001,0.6666666666666667
roc1,0.5538461538461539,0.5307692307692309,0.5692307692307692,0.5307692307692309,0.5307692307692309,0.6692307692307693,0.6307692307692307,0.6307692307692307,0.6692307692307693,0.7692307692307692,0.6692307692307693
tn1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0
fp1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
fn1,9.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0
tp1,4.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0
acc_test2,0.3888888888888889,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.6111111111111112
precision2,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
recall2,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.36363636363636365
f1score2,0.15384615384615385,0.5333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.5333333333333333,0.5333333333333333
roc2,0.474025974025974,0.6818181818181819,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5194805194805195,0.5194805194805195,0.5194805194805195,0.5194805194805195,0.6818181818181819,0.6818181818181819
tn2,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0
fp2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
fn2,10.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0
tp2,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0
acc_test3,0.5789473684210527,0.42105263157894735,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.42105263157894735,0.47368421052631576
precision3,1.0,0.6,0.7142857142857143,0.6,0.6,1.0,1.0,1.0,1.0,0.5714285714285714,0.6666666666666666
recall3,0.3333333333333333,0.25,0.4166666666666667,0.25,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333
f1score3,0.5,0.35294117647058826,0.5263157894736842,0.35294117647058826,0.35294117647058826,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.4210526315789474,0.4444444444444444
roc3,0.6666666666666666,0.48214285714285715,0.5654761904761906,0.48214285714285715,0.48214285714285715,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.45238095238095233,0.5238095238095237
tn3,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,4.0,5.0
fp3,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
fn3,8.0,9.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,8.0
tp3,4.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0
