parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.30000000000000004
reg_lambda,1.2000000000000002
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,473
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6761904761904762
best_index,0.0
acc_train,0.7758620689655172
acc_val,0.5
acc_test,0.4727272727272727
precision,0.8181818181818182
recall,0.25
f1score,0.38297872340425526
roc,0.5723684210526316
tn,17.0
fp,2.0
fn,27.0
tp,9.0
acc_test1,0.4444444444444444
precision1,0.8
recall1,0.3076923076923077
f1score1,0.4444444444444444
roc1,0.5538461538461539
tn1,4.0
fp1,1.0
fn1,9.0
tp1,4.0
acc_test2,0.3888888888888889
precision2,0.5
recall2,0.09090909090909091
f1score2,0.15384615384615385
roc2,0.474025974025974
tn2,6.0
fp2,1.0
fn2,10.0
tp2,1.0
acc_test3,0.5789473684210527
precision3,1.0
recall3,0.3333333333333333
f1score3,0.5
roc3,0.6666666666666666
tn3,7.0
fp3,0.0
fn3,8.0
tp3,4.0
