parameter,value1,value2
boosting_type,dart,gbdt
class_weight,,
colsample_bytree,0.528987135942054,0.49898437007873314
importance_type,split,split
learning_rate,0.0028055967090060275,0.0003304939642148201
max_depth,21,29
min_child_samples,17,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,4854,5903
n_jobs,-1,-1
num_leaves,9,7
objective,binary,binary
random_state,,
reg_alpha,0.5,1.3
reg_lambda,0.5,0.1
silent,warn,warn
subsample,0.9860608005968848,0.5597576125719046
subsample_for_bin,116672,439614
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,745,146
scale_pos_weight,0.7000000000000002,0.7000000000000002
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.6428030303030303,0.5061111111111112
best_index,4.0,7.0
acc_train,1.0,0.8972602739726028
acc_val,0.45454545454545453,0.5675675675675675
acc_test,0.5636363636363636,0.6304347826086957
precision,0.6875,0.7391304347826086
recall,0.6111111111111112,0.6071428571428571
f1score,0.6470588235294118,0.6666666666666666
roc,0.5423976608187134,0.636904761904762
tn,9.0,12.0
fp,10.0,6.0
fn,14.0,11.0
tp,22.0,17.0
acc_test1,0.5555555555555556,0.6
precision1,0.7777777777777778,0.6666666666666666
recall1,0.5384615384615384,0.8
f1score1,0.6363636363636364,0.7272727272727272
roc1,0.5692307692307692,0.5
tn1,3.0,1.0
fp1,2.0,4.0
fn1,6.0,2.0
tp1,7.0,8.0
acc_test2,0.5555555555555556,0.6
precision2,0.6363636363636364,0.75
recall2,0.6363636363636364,0.375
f1score2,0.6363636363636364,0.5
roc2,0.5324675324675324,0.6160714285714286
tn2,3.0,6.0
fp2,4.0,1.0
fn2,4.0,5.0
tp2,7.0,3.0
acc_test3,0.5789473684210527,0.6875
precision3,0.6666666666666666,0.8571428571428571
recall3,0.6666666666666666,0.6
f1score3,0.6666666666666666,0.7058823529411764
roc3,0.5476190476190477,0.7166666666666668
tn3,3.0,5.0
fp3,4.0,1.0
fn3,4.0,4.0
tp3,8.0,6.0
