parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.528987135942054
importance_type,split
learning_rate,0.0028055967090060275
max_depth,21
min_child_samples,17
min_child_weight,0.001
min_split_gain,0.0
n_estimators,4854
n_jobs,-1
num_leaves,9
objective,binary
random_state,
reg_alpha,0.5
reg_lambda,0.5
silent,warn
subsample,0.9860608005968848
subsample_for_bin,116672
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,745
scale_pos_weight,0.7000000000000002
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6428030303030303
best_index,4.0
acc_train,1.0
acc_val,0.45454545454545453
acc_test,0.5636363636363636
precision,0.6875
recall,0.6111111111111112
f1score,0.6470588235294118
roc,0.5423976608187134
tn,9.0
fp,10.0
fn,14.0
tp,22.0
acc_test1,0.5555555555555556
precision1,0.7777777777777778
recall1,0.5384615384615384
f1score1,0.6363636363636364
roc1,0.5692307692307692
tn1,3.0
fp1,2.0
fn1,6.0
tp1,7.0
acc_test2,0.5555555555555556
precision2,0.6363636363636364
recall2,0.6363636363636364
f1score2,0.6363636363636364
roc2,0.5324675324675324
tn2,3.0
fp2,4.0
fn2,4.0
tp2,7.0
acc_test3,0.5789473684210527
precision3,0.6666666666666666
recall3,0.6666666666666666
f1score3,0.6666666666666666
roc3,0.5476190476190477
tn3,3.0
fp3,4.0
fn3,4.0
tp3,8.0
