parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_12,iter_13,iter_14
cv,3,3,3,3,3,5,5,5,5,5,5
iterations,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,False,True,False,True,False,True,True,False,False
boosting_type,gbdt,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,dart,dart
class_weight,,,,,,,,,,,
colsample_bytree,0.10933486275994007,0.9481513736494467,0.15431575924691077,0.6688652300490596,0.10408416376497254,0.13587982258426695,0.005,0.678785193982493,1.0,0.3471354642965734,0.005
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0005330882335306452,0.0003372774886014296,0.000801704573371367,0.00022240516917587593,0.00039012216811332693,0.00042525944054112603,0.004,0.0001229341325235329,0.0025708632423532144,0.00013076365571073386,0.004
max_bin,240,406,299,1000,165,549,727,563,799,158,727
max_depth,38,39,34,5,50,28,37,25,1,35,37
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,39,5,18,28,30,17,11,24,17,8,11
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3725,3062,2031,1297,3819,3301,4054,2337,3409,2937,4054
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,8,4,12,4,8,10,4,12,10,6,4
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.038204453073899,0.0,3.590362127250662,1.7063011701647202,1.2079780823494901,0.8773371605146322,0.0,0.2995831435454037,1.3622782598241496,0.0,0.0
reg_lambda,1.7813856167313924,2.8787637105649266,1.744715314106735,2.992318094192109,1.1326138864043271,2.0,0.0,1.4751344470610281,0.9546856541316054,0.0,0.0
scale_pos_weight,0.8500527551388624,0.8535990495758918,0.8662092563651449,1.1441051230108727,0.8869520512439113,0.6662018220696588,0.8452046757092149,0.8685600171264363,0.7719337125735004,0.5961210368305914,0.8452046757092149
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9969204043266121,0.7951691364315552,0.5006405979408681,0.5367738976154457,1.0,0.6588275430288232,0.3659186528663524,0.6103767807843896,0.005,0.5791241676416282,0.3659186528663524
subsample_for_bin,192030,100000,234292,270241,191903,500000,1000000,1120196,1000000,698490,1000000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0
best_score,0.5656565656565656,0.5574937343358396,0.580765639589169,0.5787037037037037,0.5889001349527665,0.8,0.6826190476190476,0.7,0.670909090909091,0.7219047619047619,0.6826190476190476
best_index,2.0,13.0,44.0,37.0,20.0,19.0,33.0,29.0,48.0,42.0,33.0
