날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,"1,242.26","1,235.60","1,243.89","1,234.72",0.60%
2022년 05월 30일,"1,234.85","1,251.10","1,253.58","1,234.55",-1.37%
2022년 05월 27일,"1,251.99","1,260.29","1,262.13","1,248.85",-0.64%
2022년 05월 26일,"1,260.02","1,266.55","1,269.73","1,259.34",-0.50%
2022년 05월 25일,"1,266.41","1,261.14","1,271.95","1,260.06",0.43%
2022년 05월 24일,"1,261.03","1,258.87","1,266.72","1,258.21",0.25%
2022년 05월 23일,"1,257.88","1,270.41","1,272.97","1,258.36",-1.23%
2022년 05월 20일,"1,273.59","1,263.99","1,277.18","1,263.05",0.87%
2022년 05월 19일,"1,262.61","1,276.00","1,280.63","1,261.35",-1.00%
2022년 05월 18일,"1,275.33","1,266.80","1,276.98","1,263.93",0.70%
2022년 05월 17일,"1,266.50","1,280.64","1,281.44","1,264.02",-1.08%
2022년 05월 16일,"1,280.38","1,278.56","1,286.56","1,276.16",0.15%
2022년 05월 13일,"1,278.45","1,290.87","1,291.74","1,278.22",-0.95%
2022년 05월 12일,"1,290.72","1,279.14","1,293.14","1,278.47",0.91%
2022년 05월 11일,"1,279.03","1,276.63","1,280.55","1,272.35",0.20%
2022년 05월 10일,"1,276.48","1,275.01","1,278.94","1,271.37",0.17%
2022년 05월 09일,"1,274.28","1,270.41","1,278.35","1,270.29",0.34%
2022년 05월 06일,"1,269.99","1,269.56","1,276.46","1,266.98",0.06%
2022년 05월 05일,"1,269.20","1,251.53","1,274.36","1,250.42",1.41%
2022년 05월 04일,"1,251.51","1,260.95","1,267.49","1,250.61",-0.70%
2022년 05월 03일,"1,260.35","1,267.64","1,268.77","1,260.11",-0.56%
2022년 05월 02일,"1,267.51","1,264.65","1,270.75","1,262.88",0.32%
2022년 04월 29일,"1,263.48","1,272.41","1,272.41","1,254.87",-0.68%
2022년 04월 28일,"1,272.11","1,266.40","1,276.56","1,264.27",0.46%
2022년 04월 27일,"1,266.27","1,260.98","1,270.72","1,260.89",0.44%
2022년 04월 26일,"1,260.67","1,250.22","1,261.43","1,245.14",0.85%
2022년 04월 25일,"1,250.10","1,244.40","1,253.77","1,243.63",0.48%
2022년 04월 22일,"1,244.11","1,242.34","1,247.45","1,238.45",0.10%
2022년 04월 21일,"1,242.81","1,233.98","1,244.95","1,233.85",0.74%
2022년 04월 20일,"1,233.66","1,239.81","1,241.04","1,232.37",-0.47%
2022년 04월 19일,"1,239.53","1,235.45","1,242.67","1,233.17",0.35%
2022년 04월 18일,"1,235.22","1,229.08","1,235.81","1,228.88",0.57%
2022년 04월 15일,"1,228.19","1,230.26","1,232.11","1,227.01",-0.16%
2022년 04월 14일,"1,230.15","1,223.36","1,231.57","1,222.61",0.57%
2022년 04월 13일,"1,223.23","1,228.15","1,231.69","1,221.71",-0.39%
2022년 04월 12일,"1,228.08","1,234.90","1,238.63","1,224.52",-0.51%
2022년 04월 11일,"1,234.32","1,228.95","1,236.81","1,228.94",0.42%
2022년 04월 08일,"1,229.19","1,222.76","1,230.86","1,221.29",0.54%
2022년 04월 07일,"1,222.55","1,217.60","1,223.95","1,216.37",0.42%
2022년 04월 06일,"1,217.48","1,218.82","1,221.95","1,215.85",-0.06%
2022년 04월 05일,"1,218.22","1,214.49","1,220.31","1,210.31",0.37%
2022년 04월 04일,"1,213.75","1,219.80","1,220.26","1,213.54",-0.49%
2022년 04월 01일,"1,219.73","1,215.13","1,220.27","1,214.39",0.46%
2022년 03월 31일,"1,214.17","1,210.51","1,215.47","1,208.16",0.32%
2022년 03월 30일,"1,210.31","1,208.19","1,213.22","1,207.06",0.25%
2022년 03월 29일,"1,207.35","1,223.82","1,225.12","1,207.27",-1.33%
2022년 03월 28일,"1,223.65","1,224.40","1,227.86","1,222.27",-0.12%
2022년 03월 25일,"1,225.08","1,221.00","1,226.31","1,216.35",0.45%
2022년 03월 24일,"1,219.58","1,219.02","1,225.05","1,217.10",0.08%
2022년 03월 23일,"1,218.62","1,215.19","1,219.80","1,210.91",0.29%
2022년 03월 22일,"1,215.07","1,218.82","1,223.92","1,214.51",-0.20%
2022년 03월 21일,"1,217.55","1,211.55","1,219.23","1,210.39",0.53%
2022년 03월 18일,"1,211.15","1,210.58","1,217.27","1,207.01",0.10%
2022년 03월 17일,"1,209.89","1,224.95","1,227.70","1,207.83",-1.26%
2022년 03월 16일,"1,225.35","1,241.66","1,244.06","1,225.32",-1.23%
2022년 03월 15일,"1,240.62","1,242.01","1,247.35","1,239.30",0.00%
2022년 03월 14일,"1,240.64","1,237.10","1,242.82","1,234.68",0.29%
2022년 03월 11일,"1,237.08","1,228.77","1,237.91","1,228.23",0.67%
2022년 03월 10일,"1,228.83","1,223.24","1,231.74","1,223.13",0.47%
2022년 03월 09일,"1,223.13","1,233.64","1,235.94","1,222.75",-0.84%
2022년 03월 08일,"1,233.53","1,232.26","1,238.83","1,227.97",0.11%
2022년 03월 07일,"1,232.14","1,221.65","1,233.47","1,220.05",1.21%
2022년 03월 04일,"1,217.45","1,206.93","1,219.78","1,206.35",0.99%
2022년 03월 03일,"1,205.54","1,203.26","1,209.29","1,202.18",0.20%
2022년 03월 02일,"1,203.16","1,205.42","1,208.99","1,201.98",-0.18%
2022년 03월 01일,"1,205.32","1,201.18","1,206.37","1,197.68",0.43%
2022년 02월 28일,"1,200.12","1,207.65","1,208.97","1,200.76",0.21%
2022년 02월 25일,"1,197.57","1,206.11","1,206.90","1,197.73",-0.70%
2022년 02월 24일,"1,206.05","1,192.60","1,211.47","1,191.93",1.14%
2022년 02월 23일,"1,192.44","1,193.03","1,194.34","1,189.64",0.05%
2022년 02월 22일,"1,191.90","1,194.60","1,196.60","1,190.74",-0.15%
2022년 02월 21일,"1,193.68","1,198.30","1,199.72","1,189.73",-0.16%
2022년 02월 18일,"1,195.59","1,198.76","1,199.55","1,192.95",-0.25%
2022년 02월 17일,"1,198.63","1,196.69","1,200.06","1,194.44",0.18%
2022년 02월 16일,"1,196.53","1,196.86","1,199.57","1,195.22",-0.02%
2022년 02월 15일,"1,196.76","1,197.44","1,200.59","1,195.29",-0.05%
2022년 02월 14일,"1,197.32","1,200.10","1,200.17","1,193.93",-0.18%
2022년 02월 11일,"1,199.48","1,200.10","1,201.87","1,193.23",-0.03%
2022년 02월 10일,"1,199.83","1,194.17","1,200.65","1,193.42",0.48%
2022년 02월 09일,"1,194.05","1,196.40","1,197.47","1,193.02",-0.19%
2022년 02월 08일,"1,196.35","1,196.92","1,200.38","1,196.21",-0.04%
2022년 02월 07일,"1,196.87","1,199.00","1,201.09","1,196.72",-0.12%
2022년 02월 04일,"1,198.25","1,200.65","1,202.05","1,196.81",-0.10%
2022년 02월 03일,"1,199.47","1,200.36","1,207.19","1,198.68",0.00%
2022년 02월 02일,"1,199.46","1,202.47","1,204.41","1,198.82",-0.24%
2022년 02월 01일,"1,202.31","1,204.75","1,208.01","1,201.61",-0.19%
2022년 01월 31일,"1,204.63","1,209.71","1,212.92","1,204.20",-0.41%
2022년 01월 28일,"1,209.56","1,203.82","1,213.86","1,203.65",0.48%
2022년 01월 27일,"1,203.77","1,200.75","1,205.79","1,200.15",0.56%
2022년 01월 26일,"1,197.03","1,196.35","1,198.51","1,194.29",0.06%
2022년 01월 25일,"1,196.35","1,195.69","1,199.93","1,195.17",0.06%
2022년 01월 24일,"1,195.59","1,193.30","1,197.90","1,192.49",0.26%
2022년 01월 21일,"1,192.51","1,192.49","1,195.05","1,190.14",0.01%
2022년 01월 20일,"1,192.42","1,188.21","1,193.88","1,187.19",0.36%
2022년 01월 19일,"1,188.13","1,193.03","1,193.94","1,186.66",-0.38%
2022년 01월 18일,"1,192.69","1,190.98","1,194.33","1,185.93",0.23%
2022년 01월 17일,"1,189.99","1,190.55","1,194.13","1,189.49",-0.01%
2022년 01월 14일,"1,190.07","1,186.77","1,192.42","1,185.67",0.33%
2022년 01월 13일,"1,186.11","1,185.96","1,189.94","1,184.04",0.02%
2022년 01월 12일,"1,185.87","1,190.55","1,193.20","1,185.11",-0.54%
2022년 01월 11일,"1,192.31","1,198.14","1,198.60","1,192.30",-0.48%
2022년 01월 10일,"1,198.04","1,198.20","1,201.81","1,195.95",0.03%
