parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.4,0.4
importance_type,split,split
learning_rate,0.002,0.0025
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1500,1500
n_jobs,-1,-1
num_leaves,5,5
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.5,0.4
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0
cv,,
scoring,,
num_col,110.0,95.0
best_score,0.5996047430830039,0.5996047430830039
best_index,378.0,1026.0
acc_train,0.9732142857142857,0.9910714285714286
acc_val,0.5,0.5
acc_test,0.6111111111111112,0.5555555555555556
precision,0.5333333333333333,0.4666666666666667
recall,0.5333333333333333,0.4666666666666667
f1score,0.5333333333333333,0.4666666666666667
roc,0.6000000000000001,0.5428571428571429
tn,14.0,13.0
fp,7.0,8.0
fn,7.0,8.0
tp,8.0,7.0
acc_test1,0.5833333333333334,0.5
precision1,0.5,0.4
recall1,0.6,0.4
f1score1,0.5454545454545454,0.4000000000000001
roc1,0.5857142857142856,0.48571428571428565
tn1,4.0,4.0
fp1,3.0,3.0
fn1,2.0,3.0
tp1,3.0,2.0
acc_test2,0.5833333333333334,0.4166666666666667
precision2,0.5,0.3333333333333333
recall2,0.4,0.4
f1score2,0.4444444444444445,0.3636363636363636
roc2,0.5571428571428572,0.41428571428571426
tn2,5.0,3.0
fp2,2.0,4.0
fn2,3.0,3.0
tp2,2.0,2.0
acc_test3,0.6666666666666666,0.75
precision3,0.6,0.75
recall3,0.6,0.6
f1score3,0.6,0.6666666666666665
roc3,0.6571428571428573,0.7285714285714286
tn3,5.0,6.0
fp3,2.0,1.0
fn3,2.0,2.0
tp3,3.0,3.0
