parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.872293668820899,0.872293668820899
importance_type,split,split
learning_rate,0.00040783886902393755,0.00040783886902393755
max_depth,0,0
min_child_samples,26,26
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1105,1808
n_jobs,-1,-1
num_leaves,12,12
objective,binary,binary
random_state,,
reg_alpha,0.2,0.2
reg_lambda,0.4,0.4
silent,warn,warn
subsample,0.40764193647046626,0.40764193647046626
subsample_for_bin,398451,398451
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,290,290
scale_pos_weight,0.8000000000000003,0.8000000000000003
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.7726406926406926,0.7620268620268621
best_index,8.0,8.0
acc_train,0.7868852459016393,0.8415300546448088
acc_val,0.4782608695652174,0.5
acc_test,0.5689655172413793,0.5517241379310345
precision,0.5,0.47619047619047616
recall,0.36,0.4
f1score,0.41860465116279066,0.43478260869565216
roc,0.5436363636363636,0.5333333333333333
tn,24.0,22.0
fp,9.0,11.0
fn,16.0,15.0
tp,9.0,10.0
acc_test1,0.3684210526315789,0.3684210526315789
precision1,0.3333333333333333,0.3333333333333333
recall1,0.2,0.2
f1score1,0.25,0.25
roc1,0.37777777777777777,0.37777777777777777
tn1,5.0,5.0
fp1,4.0,4.0
fn1,8.0,8.0
tp1,2.0,2.0
acc_test2,0.7368421052631579,0.631578947368421
precision2,0.6,0.42857142857142855
recall2,0.5,0.5
f1score2,0.5454545454545454,0.4615384615384615
roc2,0.673076923076923,0.596153846153846
tn2,11.0,9.0
fp2,2.0,4.0
fn2,3.0,3.0
tp2,3.0,3.0
acc_test3,0.6,0.65
precision3,0.5714285714285714,0.625
recall3,0.4444444444444444,0.5555555555555556
f1score3,0.5,0.5882352941176471
roc3,0.5858585858585859,0.6414141414141414
tn3,8.0,8.0
fp3,3.0,3.0
fn3,5.0,4.0
tp3,4.0,5.0
