parameter,value1,value2,value3,value4
acc_test,0.5,0.5555555555555556,0.5555555555555556,0.5277777777777778
acc_test1,0.5,0.5,0.5,0.5
acc_test2,0.4166666666666667,0.5,0.5,0.5
acc_test3,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334
acc_train,0.9017857142857143,0.9910714285714286,0.9910714285714286,0.9107142857142857
acc_val,0.5357142857142857,0.5,0.5357142857142857,0.5
best_index,0.0,171.0,171.0,1423.0
best_score,0.5276679841897234,0.5909090909090908,0.5992094861660078,0.6079051383399209
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.6,0.5,0.5,0.7
cv,,,,
f1score,0.5,0.4666666666666667,0.4666666666666667,0.5142857142857143
f1score1,0.5,0.4000000000000001,0.4000000000000001,0.5
f1score2,0.4615384615384615,0.4000000000000001,0.4000000000000001,0.5
f1score3,0.5454545454545454,0.6,0.6,0.5454545454545454
fn,6.0,8.0,8.0,6.0
fn1,2.0,3.0,3.0,2.0
fn2,2.0,3.0,3.0,2.0
fn3,2.0,2.0,2.0,2.0
fp,12.0,8.0,8.0,11.0
fp1,4.0,3.0,3.0,4.0
fp2,5.0,3.0,3.0,4.0
fp3,3.0,2.0,2.0,3.0
importance_type,split,split,split,split
lambda_l2,,,,5
learning_rate,0.0015,0.0025,0.0025,0.0025
max_depth,-1,-1,-1,-1
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1300,1400,1400,1500
n_jobs,-1,-1,-1,-1
num_col,110.0,110.0,101.0,101.0
num_leaves,6,6,6,5
objective,binary,binary,binary,binary
precision,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.45
precision1,0.42857142857142855,0.4,0.4,0.42857142857142855
precision2,0.375,0.4,0.4,0.42857142857142855
precision3,0.5,0.6,0.6,0.5
random_state,42,42,42,42
recall,0.6,0.4666666666666667,0.4666666666666667,0.6
recall1,0.6,0.4,0.4,0.6
recall2,0.6,0.4,0.4,0.6
recall3,0.6,0.6,0.6,0.6
reg_alpha,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0
roc,0.5142857142857143,0.5428571428571429,0.5428571428571429,0.5380952380952381
roc1,0.5142857142857143,0.48571428571428565,0.48571428571428565,0.5142857142857143
roc2,0.44285714285714284,0.48571428571428565,0.48571428571428565,0.5142857142857143
roc3,0.5857142857142856,0.6571428571428573,0.6571428571428573,0.5857142857142856
scale_pos_weight,1.5,1.0,1.0,1.5
scoring,,,,
silent,warn,warn,warn,warn
subsample,1,1,1,1
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
tn,9.0,13.0,13.0,10.0
tn1,3.0,4.0,4.0,3.0
tn2,2.0,4.0,4.0,3.0
tn3,4.0,5.0,5.0,4.0
tp,9.0,7.0,7.0,9.0
tp1,3.0,2.0,2.0,3.0
tp2,3.0,2.0,2.0,3.0
tp3,3.0,3.0,3.0,3.0
