parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.4
importance_type,split
learning_rate,0.002
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1500
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.5
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,
num_col,110.0
best_score,0.5996047430830039
best_index,378.0
acc_train,0.9732142857142857
acc_val,0.5
acc_test,0.6111111111111112
precision,0.5333333333333333
recall,0.5333333333333333
f1score,0.5333333333333333
roc,0.6000000000000001
tn,14.0
fp,7.0
fn,7.0
tp,8.0
acc_test1,0.5833333333333334
precision1,0.5
recall1,0.6
f1score1,0.5454545454545454
roc1,0.5857142857142856
tn1,4.0
fp1,3.0
fn1,2.0
tp1,3.0
acc_test2,0.5833333333333334
precision2,0.5
recall2,0.4
f1score2,0.4444444444444445
roc2,0.5571428571428572
tn2,5.0
fp2,2.0
fn2,3.0
tp2,2.0
acc_test3,0.6666666666666666
precision3,0.6
recall3,0.6
f1score3,0.6
roc3,0.6571428571428573
tn3,5.0
fp3,2.0
fn3,2.0
tp3,3.0
