parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.872293668820899
importance_type,split
learning_rate,0.00040783886902393755
max_depth,0
min_child_samples,26
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1105
n_jobs,-1
num_leaves,12
objective,binary
random_state,
reg_alpha,0.2
reg_lambda,0.4
silent,warn
subsample,0.40764193647046626
subsample_for_bin,398451
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,290
scale_pos_weight,0.8000000000000003
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7726406926406926
best_index,8.0
acc_train,0.7868852459016393
acc_val,0.4782608695652174
acc_test,0.5689655172413793
precision,0.5
recall,0.36
f1score,0.41860465116279066
roc,0.5436363636363636
tn,24.0
fp,9.0
fn,16.0
tp,9.0
acc_test1,0.3684210526315789
precision1,0.3333333333333333
recall1,0.2
f1score1,0.25
roc1,0.37777777777777777
tn1,5.0
fp1,4.0
fn1,8.0
tp1,2.0
acc_test2,0.7368421052631579
precision2,0.6
recall2,0.5
f1score2,0.5454545454545454
roc2,0.673076923076923
tn2,11.0
fp2,2.0
fn2,3.0
tp2,3.0
acc_test3,0.6
precision3,0.5714285714285714
recall3,0.4444444444444444
f1score3,0.5
roc3,0.5858585858585859
tn3,8.0
fp3,3.0
fn3,5.0
tp3,4.0
