parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.872293668820899,0.872293668820899,0.1677891427453575,0.1677891427453575
importance_type,split,split,split,split
learning_rate,0.00040783886902393755,0.00040783886902393755,0.0019162589666810593,0.0019162589666810593
max_depth,0,0,23,23
min_child_samples,26,26,32,32
min_child_weight,0.001,0.001,6,5
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1105,1808,3232,3232
n_jobs,-1,-1,-1,-1
num_leaves,12,12,10,10
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.2,0.2,0.9,0.9
reg_lambda,0.4,0.4,1.8,1.8
silent,warn,warn,warn,warn
subsample,0.40764193647046626,0.40764193647046626,0.6487712293279236,0.6487712293279236
subsample_for_bin,398451,398451,477471,477471
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,True,True,True,True
force_col_wise,true,true,true,true
max_bin,290,290,435,435
scale_pos_weight,0.8000000000000003,0.8000000000000003,0.6000000000000001,0.6000000000000001
cv,5,5,5,5
scoring,precision,precision,precision,precision
num_col,110,110,110,110
iterations,10,10,10,10
best_score,0.7726406926406926,0.7620268620268621,0.7721139971139971,0.7827777777777778
best_index,8.0,8.0,5.0,5.0
acc_train,0.7868852459016393,0.8415300546448088,0.8688524590163934,0.8961748633879781
acc_val,0.4782608695652174,0.5,0.5,0.5
acc_test,0.5689655172413793,0.5517241379310345,0.5344827586206896,0.5344827586206896
precision,0.5,0.47619047619047616,0.4375,0.4444444444444444
recall,0.36,0.4,0.28,0.32
f1score,0.41860465116279066,0.43478260869565216,0.34146341463414637,0.37209302325581395
roc,0.5436363636363636,0.5333333333333333,0.5036363636363637,0.5084848484848485
tn,24.0,22.0,24.0,23.0
fp,9.0,11.0,9.0,10.0
fn,16.0,15.0,18.0,17.0
tp,9.0,10.0,7.0,8.0
acc_test1,0.3684210526315789,0.3684210526315789,0.3157894736842105,0.3157894736842105
precision1,0.3333333333333333,0.3333333333333333,0.2,0.2
recall1,0.2,0.2,0.1,0.1
f1score1,0.25,0.25,0.13333333333333333,0.13333333333333333
roc1,0.37777777777777777,0.37777777777777777,0.3277777777777778,0.3277777777777778
tn1,5.0,5.0,5.0,5.0
fp1,4.0,4.0,4.0,4.0
fn1,8.0,8.0,9.0,9.0
tp1,2.0,2.0,1.0,1.0
acc_test2,0.7368421052631579,0.631578947368421,0.631578947368421,0.631578947368421
precision2,0.6,0.42857142857142855,0.4,0.42857142857142855
recall2,0.5,0.5,0.3333333333333333,0.5
f1score2,0.5454545454545454,0.4615384615384615,0.3636363636363636,0.4615384615384615
roc2,0.673076923076923,0.596153846153846,0.5512820512820512,0.596153846153846
tn2,11.0,9.0,10.0,9.0
fp2,2.0,4.0,3.0,4.0
fn2,3.0,3.0,4.0,3.0
tp2,3.0,3.0,2.0,3.0
acc_test3,0.6,0.65,0.65,0.65
precision3,0.5714285714285714,0.625,0.6666666666666666,0.6666666666666666
recall3,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444
f1score3,0.5,0.5882352941176471,0.5333333333333333,0.5333333333333333
roc3,0.5858585858585859,0.6414141414141414,0.6313131313131313,0.6313131313131313
tn3,8.0,8.0,9.0,9.0
fp3,3.0,3.0,2.0,2.0
fn3,5.0,4.0,5.0,5.0
tp3,4.0,5.0,4.0,4.0
