parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.0015
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,
num_col,110.0
best_score,0.5276679841897234
best_index,0.0
acc_train,0.9017857142857143
acc_val,0.5357142857142857
acc_test,0.5
precision,0.42857142857142855
recall,0.6
f1score,0.5
roc,0.5142857142857143
tn,9.0
fp,12.0
fn,6.0
tp,9.0
acc_test1,0.5
precision1,0.42857142857142855
recall1,0.6
f1score1,0.5
roc1,0.5142857142857143
tn1,3.0
fp1,4.0
fn1,2.0
tp1,3.0
acc_test2,0.4166666666666667
precision2,0.375
recall2,0.6
f1score2,0.4615384615384615
roc2,0.44285714285714284
tn2,2.0
fp2,5.0
fn2,2.0
tp2,3.0
acc_test3,0.5833333333333334
precision3,0.5
recall3,0.6
f1score3,0.5454545454545454
roc3,0.5857142857142856
tn3,4.0
fp3,3.0
fn3,2.0
tp3,3.0
