parameter,iter_1
cv,3
iterations,50
num_col,98
scoring,precision
boost_from_average,True
boosting_type,dart
class_weight,
colsample_bytree,0.09455369504164898
force_col_wise,true
importance_type,split
learning_rate,0.0021508118095526227
max_bin,382
max_depth,44
metric,binary_logloss
min_child_samples,30
min_child_weight,10
min_split_gain,0.0
n_estimators,5356
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,1.1
reg_lambda,2.3000000000000003
scale_pos_weight,0.6
silent,warn
subsample,1.0
subsample_for_bin,661142
subsample_freq,0
verbose,0
best_score,0.6319444444444445
best_index,43.0
acc_train,0.72
acc_val,0.62
acc_test,0.6031746031746031
precision,0.9090909090909091
recall,0.29411764705882354
f1score,0.4444444444444445
roc,0.6298174442190669
tn,28.0
fp,1.0
fn,24.0
tp,10.0
acc_test1,0.7619047619047619
precision1,1.0
recall1,0.4444444444444444
f1score1,0.6153846153846153
roc1,0.7222222222222222
tn1,12.0
fp1,0.0
fn1,5.0
tp1,4.0
acc_test2,0.5238095238095238
precision2,0.8
recall2,0.3076923076923077
f1score2,0.4444444444444444
roc2,0.5913461538461539
tn2,7.0
fp2,1.0
fn2,9.0
tp2,4.0
acc_test3,0.5238095238095238
precision3,1.0
recall3,0.16666666666666666
f1score3,0.2857142857142857
roc3,0.5833333333333334
tn3,9.0
fp3,0.0
fn3,10.0
tp3,2.0
