parameter,value1,value2
cv,3,3
iterations,50,50
num_col,98,98
scoring,precision,precision
boost_from_average,False,False
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.9332036588535947,0.9332036588535947
force_col_wise,true,true
importance_type,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723
max_bin,473,473
max_depth,18,18
metric,binary_logloss,binary_logloss
min_child_samples,19,19
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,6724,6724
n_jobs,-1,-1
num_leaves,12,12
objective,binary,binary
random_state,42,42
reg_alpha,0.5,0.5
reg_lambda,1.8,1.8
scale_pos_weight,0.2,0.2
silent,warn,warn
subsample,0.6684947525293031,0.6684947525293031
subsample_for_bin,714473,714473
subsample_freq,0,0
verbose,1,1
best_score,0.6666666666666666,0.6666666666666666
best_index,0.0,0.0
acc_train,0.8556701030927835,0.8556701030927835
acc_val,0.46938775510204084,0.46938775510204084
acc_test,0.5081967213114754,0.5081967213114754
precision,0.5555555555555556,0.5555555555555556
recall,0.16129032258064516,0.16129032258064516
f1score,0.25,0.25
roc,0.513978494623656,0.513978494623656
tn,26.0,26.0
fp,4.0,4.0
fn,26.0,26.0
tp,5.0,5.0
acc_test1,0.65,0.65
precision1,0.5,0.5
recall1,0.2857142857142857,0.2857142857142857
f1score1,0.36363636363636365,0.36363636363636365
roc1,0.5659340659340659,0.5659340659340659
tn1,11.0,11.0
fp1,2.0,2.0
fn1,5.0,5.0
tp1,2.0,2.0
acc_test2,0.55,0.55
precision2,1.0,1.0
recall2,0.1,0.1
f1score2,0.18181818181818182,0.18181818181818182
roc2,0.55,0.55
tn2,10.0,10.0
fp2,0.0,0.0
fn2,9.0,9.0
tp2,1.0,1.0
acc_test3,0.3333333333333333,0.3333333333333333
precision3,0.5,0.5
recall3,0.14285714285714285,0.14285714285714285
f1score3,0.22222222222222224,0.22222222222222224
roc3,0.4285714285714286,0.4285714285714286
tn3,5.0,5.0
fp3,2.0,2.0
fn3,12.0,12.0
tp3,2.0,2.0
