parameter,iter_1,iter_2,iter_3,iter_4
boost_from_average,True,True,False,False
boost_from_average,"[True, False]","[True, False]","[True, False]",[False]
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']",['gbdt']
boosting_type,dart,dart,gbdt,gbdt
class_weight,,,,
colsample_bytree,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.005]
colsample_bytree,0.9971210836237359,0.3966337828922853,0.005,0.005
cv,5,5,5,5
cv,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true
importance_type,split,split,split,split
importance_type,,,,['split']
iterations,50,50,50,2
iterations,50,50,50,2
learning_rate,0.002097083975250484,0.0001,0.002689449401102927,0.004
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')",[0.004]
max_bin,100,100,942,100
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)",[100]
max_depth,"(0, 50)","(0, 50)","(0, 50)",[0]
max_depth,50,36,6,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,5,7,5,34
min_child_samples,"(5, 50)","(5, 50)","(5, 50)",[34]
min_child_weight,"(5, 15)","(5, 15)","(5, 15)",
min_child_weight,13,8,15,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)",[10000]
n_estimators,7933,1058,10000,10000
n_jobs,-1,-1,-1,-1
num_col,98,98,98,98
num_col,98,98,98,98
num_leaves,3,9,9,3
num_leaves,"(3, 20)","(3, 20)","(3, 20)",[3]
objective,binary,binary,binary,binary
objective,['binary'],['binary'],['binary'],['binary']
random_state,42,42,42,42
reg_alpha,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9]","(0, 3.0, 'uniform')","(0, 4.0, 'uniform')",[4]
reg_alpha,0.0,0,4,4
reg_lambda,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9]","(0, 3.0, 'uniform')","(0, 4.0, 'uniform')",[0]
reg_lambda,1.7000000000000002,0,0,0
scale_pos_weight,"[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]","[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]","[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]",[0.6]
scale_pos_weight,0.4,0.7000000000000001,0.6,0.6
scoring,precision,precision,precision,precision
scoring,precision,precision,precision,precision
second_best_index,,,,47
second_best_index,,,,47
silent,warn,warn,warn,warn
subsample,0.25283425931942344,1.0,0.6805400095181615,0.8088912244828527
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.8088912244828527]
subsample_for_bin,163749,1013382,821701,1200000
subsample_for_bin,"(100000, 1200000)","(100000, 1200000)","(100000, 1200000)",[1200000]
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.819047619047619,0.7739682539682539,0.775,0.6553429027113238
best_index,37.0,15.0,45.0,0.0
acc_train,0.6317829457364341,0.6511627906976745,0.6821705426356589,0.7635658914728682
acc_val,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.631578947368421
acc_test,0.5151515151515151,0.48484848484848486,0.6363636363636364,0.6363636363636364
train_precision,0.9354838709677419,0.9705882352941176,0.8448275862068966,0.9295774647887324
train_tn,134.0,135.0,127.0,131.0
train_fp,2.0,1.0,9.0,5.0
train_fn,93.0,89.0,73.0,56.0
train_tp,29.0,33.0,49.0,66.0
val_precision,1.0,0.5,1.0,0.8
val_tn,9.0,8.0,9.0,8.0
val_fp,0.0,1.0,0.0,1.0
val_fn,8.0,9.0,9.0,6.0
val_tp,2.0,1.0,1.0,4.0
test_precision,0.0,0.0,0.8333333333333334,0.75
recall,0.0,0.0,0.3125,0.375
f1score,0.0,0.0,0.45454545454545453,0.5
roc,0.5,0.47058823529411764,0.6268382352941176,0.6286764705882353
test_tn,17.0,16.0,16.0,15.0
test_fp,0.0,1.0,1.0,2.0
test_fn,16.0,16.0,11.0,10.0
test_tp,0.0,0.0,5.0,6.0
