parameter,value1
boosting_type,dart
class_weight,
colsample_bytree,0.528987135942054
importance_type,split
learning_rate,0.0028055967090060275
max_depth,21
min_child_samples,21
min_child_weight,0.001
min_split_gain,0.0
n_estimators,3536
n_jobs,-1
num_leaves,12
objective,binary
random_state,
reg_alpha,0.5
reg_lambda,0.5
silent,warn
subsample,0.9860608005968848
subsample_for_bin,137513
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,745
scale_pos_weight,0.6
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6276190476190477
best_index,4.0
acc_train,0.9617486338797814
acc_val,0.6956521739130435
acc_test,0.7068965517241379
precision,0.7727272727272727
recall,0.5862068965517241
f1score,0.6666666666666667
roc,0.7068965517241379
tn,24.0
fp,5.0
fn,12.0
tp,17.0
acc_test1,0.5789473684210527
precision1,0.75
recall1,0.3
f1score1,0.4285714285714285
roc1,0.5944444444444444
tn1,8.0
fp1,1.0
fn1,7.0
tp1,3.0
acc_test2,0.7368421052631579
precision2,0.6666666666666666
recall2,0.75
f1score2,0.7058823529411765
roc2,0.7386363636363636
tn2,8.0
fp2,3.0
fn2,2.0
tp2,6.0
acc_test3,0.8
precision3,0.8888888888888888
recall3,0.7272727272727273
f1score3,0.7999999999999999
roc3,0.8080808080808081
tn3,8.0
fp3,1.0
fn3,3.0
tp3,8.0
