parameter,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
boost_from_average,True,True,True,False,False,True,True,True,True
boost_from_average,"[True, False]",[True],"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boosting_type,"['gbdt', 'dart']",['dart'],"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,dart,dart,gbdt,dart,dart,gbdt,dart,dart
class_weight,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')",[1.0],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,1.0,1.0,0.599304569430178,0.504258595624537,0.7873351398508986,0.5678987350442087,0.9604948500330719,0.5,0.599304569430178
cv,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,2,50,50,50,50,50,50,50
iterations,50,2,50,50,50,50,50,50,50
learning_rate,0.0016017949602536233,0.0009324958070456943,0.0008113272327702594,0.0001,0.004,0.0001,0.0024288550840951394,0.0024924980458209353,0.0008113272327702594
learning_rate,"(0.0001, 0.004, 'log-uniform')",[0.0009324958070456943],"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,1100,100,718,881,170,876,848,100,718
max_bin,"(100, 1100)",[100],"(100, 1100)","(100, 1100)","(100, 1100)","(100, 1100)","(100, 1100)","(100, 1100)","(100, 1100)"
max_depth,"(0, 50)",[29],"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
max_depth,46,29,15,50,48,45,43,0,15
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,5,30,40,40,28,5,31,16,40
