parameter,value5
boosting_type,gbdt
class_weight,
colsample_bytree,1
importance_type,split
learning_rate,0.005
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,150
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.5
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
best_score,0.8533333333333333
best_index,128.0
acc_train,0.7848837209302325
acc_val,0.7441860465116279
acc_test,0.7222222222222222
precision,1.0
recall,0.0625
f1score,0.11764705882352941
roc,0.53125
tn,38.0
fp,0.0
fn,15.0
tp,1.0
acc_test1,0.6666666666666666
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.5
tn1,12.0
fp1,0.0
fn1,6.0
tp1,0.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.14285714285714285
f1score2,0.25
roc2,0.5714285714285714
tn2,11.0
fp2,0.0
fn2,6.0
tp2,1.0
acc_test3,0.8333333333333334
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.5
tn3,15.0
fp3,0.0
fn3,3.0
tp3,0.0
