parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.002,0.0017,0.002
max_depth,-1,-1,-1,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,900,700,900,1000,1000,600,600,800,1000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,7,7,7,7,7,7,7,7
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1,1,1,1,1,1,1,1,1
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,2,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,,,,
scoring,,,,,,,,,
num_col,72.0,55.0,45.0,35.0,40.0,50.0,50.0,52.0,47.0
best_score,0.7458730158730159,0.7292063492063492,0.7349206349206349,0.7577777777777779,0.7349206349206349,0.7349206349206349,0.7404761904761904,0.7349206349206349,0.7295238095238095
best_index,884.0,865.0,882.0,891.0,666.0,855.0,810.0,783.0,846.0
acc_train,0.9830508474576272,0.9209039548022598,0.9378531073446328,0.9491525423728814,0.943502824858757,0.9322033898305084,0.903954802259887,0.9152542372881356,0.9322033898305084
acc_val,0.6666666666666666,0.5777777777777777,0.5777777777777777,0.5555555555555556,0.5333333333333333,0.6,0.5777777777777777,0.6,0.6
acc_test,0.6785714285714286,0.5714285714285714,0.5892857142857143,0.5892857142857143,0.5714285714285714,0.5892857142857143,0.5714285714285714,0.5714285714285714,0.5892857142857143
precision,0.5,0.7,0.8461538461538461,0.8,0.75,0.8461538461538461,0.8333333333333334,0.7857142857142857,0.7647058823529411
recall,0.4444444444444444,0.4375,0.34375,0.375,0.375,0.34375,0.3125,0.34375,0.40625
f1score,0.47058823529411764,0.5384615384615384,0.4888888888888889,0.5106382978723405,0.5,0.4888888888888889,0.45454545454545453,0.4782608695652174,0.5306122448979592
roc,0.6169590643274854,0.59375,0.6302083333333333,0.625,0.6041666666666667,0.6302083333333333,0.6145833333333334,0.609375,0.6197916666666666
tn,30.0,18.0,22.0,21.0,20.0,22.0,22.0,21.0,20.0
fp,8.0,6.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0
fn,10.0,18.0,21.0,20.0,20.0,21.0,22.0,21.0,19.0
tp,8.0,14.0,11.0,12.0,12.0,11.0,10.0,11.0,13.0
acc_test1,0.7222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4444444444444444
precision1,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6
recall1,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
f1score1,0.5454545454545454,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.37499999999999994
roc1,0.6666666666666666,0.564935064935065,0.564935064935065,0.564935064935065,0.564935064935065,0.564935064935065,0.564935064935065,0.564935064935065,0.4935064935064935
tn1,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
fp1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
fn1,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
tp1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
acc_test2,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6666666666666666
precision2,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.42857142857142855,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453
f1score2,0.5454545454545454,0.625,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.625
roc2,0.6688311688311688,0.7272727272727273,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.7272727272727273
tn2,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
fp2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn2,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
tp2,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
acc_test3,0.6,0.55,0.65,0.65,0.6,0.65,0.6,0.6,0.65
precision3,0.2857142857142857,0.5454545454545454,0.8,0.7142857142857143,0.625,0.8,0.75,0.6666666666666666,0.7142857142857143
recall3,0.4,0.6,0.4,0.5,0.5,0.4,0.3,0.4,0.5
f1score3,0.3333333333333333,0.5714285714285713,0.5333333333333333,0.588235294117647,0.5555555555555556,0.5333333333333333,0.4285714285714285,0.5,0.588235294117647
roc3,0.5333333333333333,0.55,0.65,0.6500000000000001,0.5999999999999999,0.65,0.6000000000000001,0.6,0.6500000000000001
tn3,10.0,5.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0
fp3,5.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0
fn3,3.0,4.0,6.0,5.0,5.0,6.0,7.0,6.0,5.0
tp3,2.0,6.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0
