parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.8,0.6,0.6
importance_type,split,split,split
learning_rate,0.0025,0.0017,0.0025
max_depth,-1,-1,-1
min_child_samples,20,20,20
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1300,1300,1100
n_jobs,-1,-1,-1
num_leaves,6,7,6
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0
silent,warn,warn,warn
subsample,1,1,1
subsample_for_bin,200000,200000,200000
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.0,1.0
cv,,,
scoring,,,
num_col,110.0,110.0,110.0
best_score,0.7136507936507936,0.7246031746031745,0.718888888888889
best_index,658.0,120.0,189.0
acc_train,0.9775280898876404,0.9719101123595506,0.9719101123595506
acc_val,0.5333333333333333,0.5555555555555556,0.5555555555555556
acc_test,0.6785714285714286,0.6785714285714286,0.6607142857142857
precision,0.8636363636363636,0.9,0.8947368421052632
recall,0.5588235294117647,0.5294117647058824,0.5
f1score,0.6785714285714287,0.6666666666666667,0.6415094339622641
roc,0.7112299465240641,0.7192513368983956,0.7045454545454545
tn,19.0,20.0,20.0
fp,3.0,2.0,2.0
fn,15.0,16.0,17.0
tp,19.0,18.0,17.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision1,0.8888888888888888,0.8888888888888888,0.8888888888888888
recall1,0.6153846153846154,0.6153846153846154,0.6153846153846154
f1score1,0.7272727272727274,0.7272727272727274,0.7272727272727274
roc1,0.7076923076923077,0.7076923076923077,0.7076923076923077
tn1,4.0,4.0,4.0
fp1,1.0,1.0,1.0
fn1,5.0,5.0,5.0
tp1,8.0,8.0,8.0
acc_test2,0.7222222222222222,0.6666666666666666,0.6666666666666666
precision2,1.0,1.0,1.0
recall2,0.5,0.4,0.4
f1score2,0.6666666666666666,0.5714285714285715,0.5714285714285715
roc2,0.75,0.7,0.7
tn2,8.0,8.0,8.0
fp2,0.0,0.0,0.0
fn2,5.0,6.0,6.0
tp2,5.0,4.0,4.0
acc_test3,0.65,0.7,0.65
precision3,0.75,0.8571428571428571,0.8333333333333334
recall3,0.5454545454545454,0.5454545454545454,0.45454545454545453
f1score3,0.631578947368421,0.6666666666666665,0.5882352941176471
roc3,0.6616161616161615,0.7171717171717171,0.6717171717171717
tn3,7.0,8.0,8.0
fp3,2.0,1.0,1.0
fn3,5.0,5.0,6.0
tp3,6.0,6.0,5.0
