parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9335393188593556
importance_type,split
learning_rate,0.0016612938916177552
max_depth,21
min_child_samples,32
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1013
n_jobs,-1
num_leaves,8
objective,binary
random_state,
reg_alpha,0.4
reg_lambda,0.6000000000000001
silent,warn
subsample,0.6357746718688816
subsample_for_bin,131156
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7123015873015873
best_index,0.0
acc_train,0.8539325842696629
acc_val,0.6
acc_test,0.6607142857142857
precision,0.8947368421052632
recall,0.5
f1score,0.6415094339622641
roc,0.7045454545454545
tn,20.0
fp,2.0
fn,17.0
tp,17.0
acc_test1,0.6666666666666666
precision1,1.0
recall1,0.5384615384615384
f1score1,0.7000000000000001
roc1,0.7692307692307692
tn1,5.0
fp1,0.0
fn1,6.0
tp1,7.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.4
f1score2,0.5714285714285715
roc2,0.7
tn2,8.0
fp2,0.0
fn2,6.0
tp2,4.0
acc_test3,0.65
precision3,0.75
recall3,0.5454545454545454
f1score3,0.631578947368421
roc3,0.6616161616161615
tn3,7.0
fp3,2.0
fn3,5.0
tp3,6.0
