parameter,value1,value2
boosting_type,gbdt,goss
class_weight,,
colsample_bytree,0.9335393188593556,0.11381056696717655
importance_type,split,split
learning_rate,0.0016612938916177552,0.0007002088049764271
max_depth,21,23
min_child_samples,32,33
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1013,1190
n_jobs,-1,-1
num_leaves,8,10
objective,binary,binary
random_state,,
reg_alpha,0.4,1.4000000000000001
reg_lambda,0.6000000000000001,0.8
silent,warn,warn
subsample,0.6357746718688816,0.51445560213579
subsample_for_bin,131156,278139
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
cv,5,5
scoring,precision,precision
num_col,110,60
iterations,10,10
best_score,0.7123015873015873,0.795050505050505
best_index,0.0,2.0
acc_train,0.8539325842696629,0.7865168539325843
acc_val,0.6,0.5777777777777777
acc_test,0.6607142857142857,0.6071428571428571
precision,0.8947368421052632,0.9285714285714286
recall,0.5,0.38235294117647056
f1score,0.6415094339622641,0.5416666666666667
roc,0.7045454545454545,0.6684491978609626
tn,20.0,21.0
fp,2.0,1.0
fn,17.0,21.0
tp,17.0,13.0
acc_test1,0.6666666666666666,0.5
precision1,1.0,0.8333333333333334
recall1,0.5384615384615384,0.38461538461538464
f1score1,0.7000000000000001,0.5263157894736842
roc1,0.7692307692307692,0.5923076923076923
tn1,5.0,4.0
fp1,0.0,1.0
fn1,6.0,8.0
tp1,7.0,5.0
acc_test2,0.6666666666666666,0.6666666666666666
precision2,1.0,1.0
recall2,0.4,0.4
f1score2,0.5714285714285715,0.5714285714285715
roc2,0.7,0.7
tn2,8.0,8.0
fp2,0.0,0.0
fn2,6.0,6.0
tp2,4.0,4.0
acc_test3,0.65,0.65
precision3,0.75,1.0
recall3,0.5454545454545454,0.36363636363636365
f1score3,0.631578947368421,0.5333333333333333
roc3,0.6616161616161615,0.6818181818181819
tn3,7.0,9.0
fp3,2.0,0.0
fn3,5.0,7.0
tp3,6.0,4.0
