parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8
importance_type,split
learning_rate,0.002
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1000
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,
num_col,72.0
best_score,0.7177777777777777
best_index,586.0
acc_train,0.9209039548022598
acc_val,0.5777777777777777
acc_test,0.625
precision,0.7619047619047619
recall,0.5
f1score,0.6037735849056604
roc,0.6458333333333334
tn,19.0
fp,5.0
fn,16.0
tp,16.0
acc_test1,0.5
precision1,0.6666666666666666
recall1,0.36363636363636365
f1score1,0.4705882352941177
roc1,0.538961038961039
tn1,5.0
fp1,2.0
fn1,7.0
tp1,4.0
acc_test2,0.7222222222222222
precision2,1.0
recall2,0.5454545454545454
f1score2,0.7058823529411764
roc2,0.7727272727272727
tn2,7.0
fp2,0.0
fn2,5.0
tp2,6.0
acc_test3,0.65
precision3,0.6666666666666666
recall3,0.6
f1score3,0.631578947368421
roc3,0.6499999999999999
tn3,7.0
fp3,3.0
fn3,4.0
tp3,6.0
