parameter,value1,value2,value3
boosting_type,dart,gbdt,gbdt
class_weight,,,
colsample_bytree,0.6000568421245674,0.1677891427453575,0.10933486275994007
importance_type,split,split,split
learning_rate,0.0006885907876058295,0.0019162589666810593,0.00020003937281998327
max_depth,38,23,8
min_child_samples,37,32,25
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1467,1894,2933
n_jobs,-1,-1,-1
num_leaves,7,10,11
objective,binary,binary,binary
random_state,,,
reg_alpha,1.8,0.0,0.6000000000000001
reg_lambda,0.0,1.4000000000000001,1.4000000000000001
silent,warn,warn,warn
subsample,0.4488857071819565,0.2639494323813032,0.36433471742398227
subsample_for_bin,225635,358803,498762
subsample_freq,0,0,0
verbose,0,0,0
boost_from_average,True,True,False
force_col_wise,true,true,true
max_bin,138,249,281
metric,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.9000000000000001,0.5000000000000001
cv,5,5,5
scoring,f1,f1,precision
num_col,110,48,48
iterations,10,10,10
best_score,0.5353439153439153,0.616905615292712,0.8833333333333332
best_index,3.0,5.0,2.0
acc_train,0.7604166666666666,0.9010416666666666,0.6979166666666666
acc_val,0.6458333333333334,0.6458333333333334,0.6458333333333334
acc_test,0.6,0.5833333333333334,0.45
precision,0.8666666666666667,0.7272727272727273,1.0
recall,0.37142857142857144,0.45714285714285713,0.05714285714285714
f1score,0.52,0.5614035087719298,0.1081081081081081
roc,0.6457142857142858,0.6085714285714285,0.5285714285714286
tn,23.0,19.0,25.0
fp,2.0,6.0,0.0
fn,22.0,19.0,33.0
tp,13.0,16.0,2.0
acc_test1,0.6,0.7,0.4
precision1,1.0,1.0,0.0
recall1,0.3333333333333333,0.5,0.0
f1score1,0.5,0.6666666666666666,0.0
roc1,0.6666666666666666,0.75,0.5
tn1,8.0,8.0,8.0
fp1,0.0,0.0,0.0
fn1,8.0,6.0,12.0
tp1,4.0,6.0,0.0
acc_test2,0.75,0.55,0.6
precision2,0.8571428571428571,0.5555555555555556,1.0
recall2,0.6,0.5,0.2
f1score2,0.7058823529411764,0.5263157894736842,0.33333333333333337
roc2,0.7500000000000001,0.5499999999999999,0.6
tn2,9.0,6.0,10.0
fp2,1.0,4.0,0.0
fn2,4.0,5.0,8.0
tp2,6.0,5.0,2.0
acc_test3,0.45,0.5,0.35
precision3,0.75,0.7142857142857143,0.0
recall3,0.23076923076923078,0.38461538461538464,0.0
f1score3,0.3529411764705882,0.5,0.0
roc3,0.543956043956044,0.5494505494505495,0.5
tn3,6.0,5.0,7.0
fp3,1.0,2.0,0.0
fn3,10.0,8.0,13.0
tp3,3.0,5.0,0.0
