parameter,value1,value2
boosting_type,gbdt,goss
class_weight,,
colsample_bytree,0.9335393188593556,0.5015020365607495
importance_type,split,split
learning_rate,0.0016612938916177552,0.0008935887340296632
max_depth,21,3
min_child_samples,32,11
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1013,1070
n_jobs,-1,-1
num_leaves,8,9
objective,binary,binary
random_state,,
reg_alpha,0.4,2.2
reg_lambda,0.6000000000000001,2.6
silent,warn,warn
subsample,0.6357746718688816,0.08532107526802597
subsample_for_bin,131156,209797
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
cv,5,5
scoring,precision,precision
num_col,110,61
iterations,10,10
best_score,0.7123015873015873,0.733044733044733
best_index,0.0,7.0
acc_train,0.8539325842696629,0.8314606741573034
acc_val,0.6,0.5111111111111111
acc_test,0.6607142857142857,0.5
precision,0.8947368421052632,0.75
recall,0.5,0.2647058823529412
f1score,0.6415094339622641,0.39130434782608703
roc,0.7045454545454545,0.5641711229946524
tn,20.0,19.0
fp,2.0,3.0
fn,17.0,25.0
tp,17.0,9.0
acc_test1,0.6666666666666666,0.4444444444444444
precision1,1.0,0.7142857142857143
recall1,0.5384615384615384,0.38461538461538464
f1score1,0.7000000000000001,0.5
roc1,0.7692307692307692,0.4923076923076923
tn1,5.0,3.0
fp1,0.0,2.0
fn1,6.0,8.0
tp1,7.0,5.0
acc_test2,0.6666666666666666,0.5
precision2,1.0,1.0
recall2,0.4,0.1
f1score2,0.5714285714285715,0.18181818181818182
roc2,0.7,0.55
tn2,8.0,8.0
fp2,0.0,0.0
fn2,6.0,9.0
tp2,4.0,1.0
acc_test3,0.65,0.55
precision3,0.75,0.75
recall3,0.5454545454545454,0.2727272727272727
f1score3,0.631578947368421,0.39999999999999997
roc3,0.6616161616161615,0.5808080808080808
tn3,7.0,8.0
fp3,2.0,1.0
fn3,5.0,8.0
tp3,6.0,3.0
