parameter,value5_x,value5_y
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.7,0.5
importance_type,split,split
learning_rate,0.001,0.005
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,200,300
n_jobs,-1,-1
num_leaves,5,6
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.5,0.5
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,2,1.5
best_score,0.8095238095238095,0.6907142857142857
best_index,628.0,466.0
acc_train,0.7093023255813954,0.8953488372093024
acc_val,0.627906976744186,0.6744186046511628
acc_test,0.5,0.5555555555555556
precision,0.8,0.6666666666666666
recall,0.13333333333333333,0.4
f1score,0.2285714285714286,0.5
roc,0.5458333333333333,0.575
tn,23.0,18.0
fp,1.0,6.0
fn,26.0,18.0
tp,4.0,12.0
acc_test1,0.6111111111111112,0.5555555555555556
precision1,1.0,0.5714285714285714
recall1,0.2222222222222222,0.4444444444444444
f1score1,0.3636363636363636,0.5
roc1,0.6111111111111112,0.5555555555555556
tn1,9.0,6.0
fp1,0.0,3.0
fn1,7.0,5.0
tp1,2.0,4.0
acc_test2,0.3333333333333333,0.5
precision2,1.0,0.8333333333333334
recall2,0.07692307692307693,0.38461538461538464
f1score2,0.14285714285714288,0.5263157894736842
roc2,0.5384615384615384,0.5923076923076923
tn2,5.0,4.0
fp2,0.0,1.0
fn2,12.0,8.0
tp2,1.0,5.0
acc_test3,0.5555555555555556,0.6111111111111112
precision3,0.5,0.6
recall3,0.125,0.375
f1score3,0.2,0.4615384615384615
roc3,0.5125,0.5875
tn3,9.0,8.0
fp3,1.0,2.0
fn3,7.0,5.0
tp3,1.0,3.0
