parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
boosting_type,dart,dart,dart,gbdt,dart,dart,dart,gbdt,dart,dart
class_weight,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.3119007015088166,0.6057131717876237,0.13825697539688842,0.005,1.0,1.0,0.0783720262974278,1.0,0.7248200364713673
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0006885907876058295,0.0020283184855595915,0.0001,0.004,0.004,0.004,0.004,0.004,0.004,0.0028343001447278383
max_depth,38,4,48,36,42,10,50,4,10,50
min_child_samples,37,5,8,6,11,13,5,5,13,5
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1854,4000,1671,2455,4000,3424,4000,2548,3424,2865
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,9,7,3,15,10,3,6,10,14
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,42,,42
reg_alpha,1.2000000000000002,0.0,0.7000000000000001,1.6,0.1,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,1.4000000000000001,1.2000000000000002,1.5,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,5.9
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.005,0.6509102585105414,0.24563876380293764,0.8586076956228279,1.0,0.005,0.37917294195503176,1.0,1.0
subsample_for_bin,225635,100000,300549,100000,165264,100000,500000,214103,100000,417639
subsample_freq,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0
boost_from_average,True,True,False,True,True,True,False,False,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true
max_bin,138,100,200,143,315,446,100,471,446,500
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.7000000000000002,0.2,0.9000000000000001,0.7000000000000002,0.30000000000000004,0.9000000000000001,0.9000000000000001,0.30000000000000004,0.30000000000000004
cv,5,3,3,3,3,5,5,5,5,5
scoring,f1,f1,precision,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy
num_col,100,100,100,100,100,100,100,100,100,100
iterations,10,50,50,50,50,50,50,50,50,50
best_score,0.5637037037037037,0.5841122628356672,0.8857142857142857,0.6979166666666666,0.6875,0.7031039136302295,0.6975708502024291,0.6871794871794872,0.7031039136302295,0.6871794871794872
best_index,3.0,48.0,49.0,14.0,41.0,18.0,38.0,32.0,18.0,21.0
acc_train,0.765625,1.0,0.6510416666666666,0.9166666666666666,0.9322916666666666,0.984375,0.921875,1.0,0.984375,0.7864583333333334
acc_val,0.6458333333333334,0.6666666666666666,0.625,0.6458333333333334,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334
acc_test,0.6166666666666667,0.5333333333333333,0.4166666666666667,0.5833333333333334,0.5333333333333333,0.5333333333333333,0.5166666666666667,0.6166666666666667,0.5333333333333333,0.48333333333333334
precision,0.8333333333333334,0.6666666666666666,0.0,0.6923076923076923,0.8888888888888888,0.8888888888888888,0.6363636363636364,0.7307692307692307,0.8888888888888888,0.8333333333333334
recall,0.42857142857142855,0.4,0.0,0.5142857142857142,0.22857142857142856,0.22857142857142856,0.4,0.5428571428571428,0.22857142857142856,0.14285714285714285
f1score,0.5660377358490566,0.5,0.0,0.5901639344262295,0.3636363636363636,0.3636363636363636,0.4912280701754386,0.6229508196721311,0.3636363636363636,0.2439024390243902
roc,0.6542857142857142,0.56,0.5,0.5971428571428571,0.5942857142857143,0.5942857142857143,0.5399999999999999,0.6314285714285713,0.5942857142857143,0.5514285714285714
tn,22.0,18.0,25.0,17.0,24.0,24.0,17.0,18.0,24.0,24.0
fp,3.0,7.0,0.0,8.0,1.0,1.0,8.0,7.0,1.0,1.0
fn,20.0,21.0,35.0,17.0,27.0,27.0,21.0,16.0,27.0,30.0
tp,15.0,14.0,0.0,18.0,8.0,8.0,14.0,19.0,8.0,5.0
acc_test1,0.65,0.6,0.4,0.7,0.55,0.55,0.55,0.75,0.55,0.5
precision1,1.0,1.0,0.0,0.875,1.0,1.0,0.8,1.0,1.0,1.0
recall1,0.4166666666666667,0.3333333333333333,0.0,0.5833333333333334,0.25,0.25,0.3333333333333333,0.5833333333333334,0.25,0.16666666666666666
f1score1,0.5882352941176471,0.5,0.0,0.7000000000000001,0.4,0.4,0.47058823529411764,0.7368421052631579,0.4,0.2857142857142857
roc1,0.7083333333333334,0.6666666666666666,0.5,0.7291666666666667,0.625,0.625,0.6041666666666666,0.7916666666666667,0.625,0.5833333333333334
tn1,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0
fp1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fn1,7.0,8.0,12.0,5.0,9.0,9.0,8.0,5.0,9.0,10.0
tp1,5.0,4.0,0.0,7.0,3.0,3.0,4.0,7.0,3.0,2.0
acc_test2,0.75,0.6,0.5,0.6,0.6,0.6,0.6,0.65,0.6,0.55
precision2,0.8571428571428571,0.6,0.0,0.6,1.0,0.75,0.6,0.6666666666666666,0.75,0.6666666666666666
recall2,0.6,0.6,0.0,0.6,0.2,0.3,0.6,0.6,0.3,0.2
f1score2,0.7058823529411764,0.6,0.0,0.6,0.33333333333333337,0.4285714285714285,0.6,0.631578947368421,0.4285714285714285,0.30769230769230765
roc2,0.7500000000000001,0.6,0.5,0.6,0.6,0.6000000000000001,0.6,0.6499999999999999,0.6000000000000001,0.55
tn2,9.0,6.0,10.0,6.0,10.0,9.0,6.0,7.0,9.0,9.0
fp2,1.0,4.0,0.0,4.0,0.0,1.0,4.0,3.0,1.0,1.0
fn2,4.0,4.0,10.0,4.0,8.0,7.0,4.0,4.0,7.0,8.0
tp2,6.0,6.0,0.0,6.0,2.0,3.0,6.0,6.0,3.0,2.0
acc_test3,0.45,0.4,0.35,0.45,0.45,0.45,0.4,0.45,0.45,0.4
precision3,0.6666666666666666,0.5714285714285714,0.0,0.625,0.75,1.0,0.5714285714285714,0.6,1.0,1.0
recall3,0.3076923076923077,0.3076923076923077,0.0,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.07692307692307693
f1score3,0.42105263157894735,0.4,0.0,0.4761904761904762,0.3529411764705882,0.2666666666666667,0.4,0.5217391304347826,0.2666666666666667,0.14285714285714288
roc3,0.510989010989011,0.43956043956043955,0.5,0.478021978021978,0.543956043956044,0.5769230769230769,0.43956043956043955,0.44505494505494514,0.5769230769230769,0.5384615384615384
tn3,5.0,4.0,7.0,4.0,6.0,7.0,4.0,3.0,7.0,7.0
fp3,2.0,3.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0
