parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.8,0.7
importance_type,split,split
learning_rate,0.002,0.0015
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1000,1200
n_jobs,-1,-1
num_leaves,6,6
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,1,1
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.5,2
cv,,
scoring,,
num_col,72.0,50.0
best_score,0.7177777777777777,0.7234920634920635
best_index,586.0,290.0
acc_train,0.9209039548022598,0.9096045197740112
acc_val,0.5777777777777777,0.6
acc_test,0.625,0.6785714285714286
precision,0.7619047619047619,0.7692307692307693
recall,0.5,0.625
f1score,0.6037735849056604,0.6896551724137931
roc,0.6458333333333334,0.6875
tn,19.0,18.0
fp,5.0,6.0
fn,16.0,12.0
tp,16.0,20.0
acc_test1,0.5,0.6111111111111112
precision1,0.6666666666666666,0.8333333333333334
recall1,0.36363636363636365,0.45454545454545453
f1score1,0.4705882352941177,0.5882352941176471
roc1,0.538961038961039,0.6558441558441559
tn1,5.0,6.0
fp1,2.0,1.0
fn1,7.0,6.0
tp1,4.0,5.0
acc_test2,0.7222222222222222,0.8888888888888888
precision2,1.0,1.0
recall2,0.5454545454545454,0.8181818181818182
f1score2,0.7058823529411764,0.9
roc2,0.7727272727272727,0.9090909090909092
tn2,7.0,7.0
fp2,0.0,0.0
fn2,5.0,2.0
tp2,6.0,9.0
acc_test3,0.65,0.55
precision3,0.6666666666666666,0.5454545454545454
recall3,0.6,0.6
f1score3,0.631578947368421,0.5714285714285713
roc3,0.6499999999999999,0.55
tn3,7.0,5.0
fp3,3.0,5.0
fn3,4.0,4.0
tp3,6.0,6.0
