parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,
colsample_bytree,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.6,0.8
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.002,0.0017,0.0025,0.0015,0.002,0.002,0.0015,0.0015,0.001
max_depth,-1,-1,-1,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1000,1100,800,1100,1200,1200,1200,1300,1400
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,7,7,7,6,6,6,6,6
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1,1,1,1,1,1,1,1,1
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2
cv,,,,,,,,,
scoring,,,,,,,,,
num_col,72.0,67.0,62.0,57.0,55.0,55.0,52.0,50.0,48.0
best_score,0.7177777777777777,0.7236507936507937,0.7236507936507937,0.7403174603174604,0.7347619047619047,0.7347619047619047,0.7403174603174604,0.7347619047619047,0.7347619047619048
best_index,649.0,613.0,496.0,388.0,622.0,613.0,298.0,82.0,488.0
acc_train,0.9322033898305084,0.9209039548022598,0.9378531073446328,0.9265536723163842,0.9378531073446328,0.9378531073446328,0.9152542372881356,0.9265536723163842,0.903954802259887
acc_val,0.5777777777777777,0.5777777777777777,0.5555555555555556,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.5777777777777777,0.5777777777777777,0.6
acc_test,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.625,0.625,0.625,0.6428571428571429,0.6607142857142857,0.6428571428571429
precision,0.7368421052631579,0.7777777777777778,0.7368421052631579,0.7894736842105263,0.7391304347826086,0.7391304347826086,0.8,0.8095238095238095,0.7307692307692307
recall,0.4375,0.4375,0.4375,0.46875,0.53125,0.53125,0.5,0.53125,0.59375
f1score,0.5490196078431372,0.56,0.5490196078431372,0.5882352941176471,0.6181818181818182,0.6181818181818182,0.6153846153846154,0.6415094339622642,0.6551724137931033
roc,0.6145833333333333,0.6354166666666667,0.6145833333333333,0.6510416666666667,0.640625,0.640625,0.6666666666666666,0.6822916666666667,0.6510416666666665
tn,19.0,20.0,19.0,20.0,18.0,18.0,20.0,20.0,17.0
fp,5.0,4.0,5.0,4.0,6.0,6.0,4.0,4.0,7.0
fn,18.0,18.0,18.0,17.0,15.0,15.0,16.0,15.0,13.0
tp,14.0,14.0,14.0,15.0,17.0,17.0,16.0,17.0,19.0
acc_test1,0.4444444444444444,0.5,0.4444444444444444,0.5555555555555556,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556
precision1,0.6,0.75,0.6,0.8,0.6666666666666666,0.6666666666666666,0.8,0.7142857142857143,0.7142857142857143
recall1,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.45454545454545453
f1score1,0.37499999999999994,0.39999999999999997,0.37499999999999994,0.5000000000000001,0.4705882352941177,0.4705882352941177,0.5000000000000001,0.5555555555555556,0.5555555555555556
roc1,0.4935064935064935,0.564935064935065,0.4935064935064935,0.6103896103896105,0.538961038961039,0.538961038961039,0.6103896103896105,0.5844155844155845,0.5844155844155845
tn1,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0
fp1,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
fn1,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0
tp1,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0
acc_test2,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8333333333333334
precision2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7272727272727273
f1score2,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.8421052631578948
roc2,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8636363636363636
tn2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
tp2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0
acc_test3,0.6,0.6,0.6,0.6,0.65,0.65,0.65,0.7,0.55
precision3,0.625,0.625,0.625,0.625,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.75,0.5454545454545454
recall3,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.6,0.6
f1score3,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666665,0.5714285714285713
roc3,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.65,0.65,0.6499999999999999,0.7000000000000002,0.55
tn3,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,5.0
fp3,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0
fn3,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0
tp3,5.0,5.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0
