parameter,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25
class_weight,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.7776107350396038,0.1801528457825951,0.1801528457825951,0.7776107350396038,1.0,0.1801528457825951,0.01,0.01,0.7304484857455519,0.7304484857455519,0.7304484857455519,0.1801528457825951,0.1801528457825951,0.6020666067370067,0.17197110685216477,0.6020666067370067,0.6020666067370067,0.9335393188593556,0.6020666067370067,0.9335393188593556,0.6020666067370067,0.6020666067370067,0.6020666067370067
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
f1score,0.6153846153846153,0.6296296296296295,0.6296296296296295,0.6153846153846153,0.5614035087719297,0.576923076923077,0.0,0.0,0.0,0.0,0.0,0.5660377358490566,0.576923076923077,0.6206896551724139,0.6428571428571428,0.5818181818181817,0.5818181818181817,0.6415094339622641,0.5714285714285714,0.6415094339622641,0.5818181818181817,0.5818181818181817,0.5818181818181817
f1score1,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6363636363636364,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6666666666666667,0.6363636363636364,0.6956521739130435,0.6363636363636364,0.6363636363636364,0.7000000000000001,0.6363636363636364,0.7000000000000001,0.6363636363636364,0.6363636363636364,0.6363636363636364
f1score2,0.4615384615384615,0.7058823529411764,0.7058823529411764,0.4615384615384615,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.625,0.7058823529411764,0.5333333333333333,0.5333333333333333,0.5714285714285715,0.5333333333333333,0.5714285714285715,0.5333333333333333,0.5333333333333333,0.5333333333333333
f1score3,0.6666666666666665,0.5000000000000001,0.5000000000000001,0.6666666666666665,0.5,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.5000000000000001,0.6,0.5000000000000001,0.5555555555555556,0.5555555555555556,0.631578947368421,0.5263157894736842,0.631578947368421,0.5555555555555556,0.5555555555555556,0.5555555555555556
fn,18.0,17.0,17.0,18.0,18.0,19.0,34.0,34.0,34.0,34.0,34.0,19.0,19.0,16.0,16.0,18.0,18.0,17.0,18.0,17.0,18.0,18.0,18.0
fn1,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
fn2,7.0,4.0,4.0,7.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
fn3,5.0,7.0,7.0,5.0,6.0,7.0,11.0,11.0,11.0,11.0,11.0,7.0,7.0,5.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
fp,2.0,3.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,4.0,5.0,5.0,2.0,6.0,2.0,5.0,5.0,5.0
fp1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
fp2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fp3,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,10,10,10,10,20,5,5,5,5,5,5,5,10,10,10,10,5,10,10,10,10,10,10
learning_rate,0.0023951202695692304,0.0021068927202279185,0.0021068927202279185,0.0023951202695692304,0.0005,0.0021068927202279185,0.0005,0.0005,0.0008804604510248291,0.0008804604510248291,0.0008804604510248291,0.0021068927202279185,0.0021068927202279185,0.0012763912767437431,0.00209837254257327,0.0012763912767437431,0.0012763912767437431,0.0016612938916177552,0.0012763912767437431,0.0016612938916177552,0.0012763912767437431,0.0012763912767437431,0.0012763912767437431
max_depth,30,26,26,30,50,26,50,50,34,34,34,26,26,5,19,5,5,21,5,21,5,5,5
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,29,33,33,29,40,33,40,10,21,21,21,33,33,36,26,36,36,32,36,32,36,36,36
min_child_weight,0.001,0.0023878574945938227,0.0026815758832748554,0.0015552064648767434,0.003,0.0026815758832748554,0.003,0.003,0.0023487605854760514,0.0023487605854760514,0.0023487605854760514,0.0026815758832748554,0.0026815758832748554,0.0027798221537672094,0.0024632098428562393,0.0027798221537672094,0.0027798221537672094,0.001,9,0.001,0.0014119288615068839,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1095,1438,1438,1314,800,1438,800,800,1013,1013,1013,1438,1438,1071,1190,1071,1071,1013,1071,1013,1071,1071,1071
n_iter,,,,,,,5,15,10,10,10,,,,,,,,,,,,
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
num_leaves,8,6,6,7,3,6,10,10,7,7,7,6,6,5,7,5,5,8,5,8,5,5,5
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
precision,0.8888888888888888,0.85,0.85,0.8888888888888888,0.6956521739130435,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.8333333333333334,0.75,0.8181818181818182,0.7619047619047619,0.7619047619047619,0.8947368421052632,0.7272727272727273,0.8947368421052632,0.7619047619047619,0.7619047619047619,0.7619047619047619
precision1,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.875,0.7777777777777778,0.8,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
precision2,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8333333333333334,0.8571428571428571,0.8,0.8,1.0,0.8,1.0,0.8,0.8,0.8
precision3,0.8571428571428571,0.8,0.8,0.8571428571428571,0.5555555555555556,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6666666666666666,0.8,0.7142857142857143,0.7142857142857143,0.75,0.625,0.75,0.7142857142857143,0.7142857142857143,0.7142857142857143
random_state,,,,,,,,,,,,,,,,,,,,,,,
recall,0.47058823529411764,0.5,0.5,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.4411764705882353,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5,0.47058823529411764,0.5,0.47058823529411764,0.47058823529411764,0.47058823529411764
recall1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
recall2,0.3,0.6,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
recall3,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453
reg_alpha,4,3,3,3,0,3,4,4.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,2,2,1,2,1,2,2,2
reg_lambda,3,2,2,2,0,2,0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0,0,1,0,1,0,0,0
roc,0.6898395721925134,0.6818181818181818,0.6818181818181818,0.6898395721925134,0.5762032085561498,0.6524064171122994,0.5,0.5,0.5,0.5,0.5,0.6296791443850267,0.6524064171122994,0.6283422459893048,0.6737967914438502,0.6216577540106952,0.6216577540106952,0.7045454545454545,0.5989304812834225,0.7045454545454545,0.6216577540106952,0.6216577540106952,0.6216577540106952
roc1,0.6692307692307693,0.6692307692307693,0.6692307692307693,0.6692307692307693,0.5692307692307692,0.6692307692307693,0.5,0.5,0.5,0.5,0.5,0.5692307692307692,0.6692307692307693,0.5692307692307692,0.6076923076923078,0.5692307692307692,0.5692307692307692,0.7692307692307692,0.5692307692307692,0.7692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692
roc2,0.65,0.7375,0.7375,0.65,0.6375,0.6375,0.5,0.5,0.5,0.5,0.5,0.6375,0.6375,0.6875,0.7375,0.6375,0.6375,0.7,0.6375,0.7,0.6375,0.6375,0.6375
roc3,0.7171717171717171,0.6262626262626263,0.6262626262626263,0.7171717171717171,0.5050505050505051,0.6262626262626263,0.5,0.5,0.5,0.5,0.5,0.6262626262626263,0.6262626262626263,0.6060606060606062,0.6262626262626263,0.6161616161616161,0.6161616161616161,0.6616161616161615,0.5606060606060607,0.6616161616161615,0.6161616161616161,0.6161616161616161,0.6161616161616161
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6156272015036002,0.036023557810653695,0.036023557810653695,0.3525162353863268,1.0,0.036023557810653695,1.0,1.0,0.08711231684588398,0.18630307921210337,0.18630307921210337,0.8391548832503206,0.036023557810653695,0.9650535848048808,0.9684924322508254,0.9650535848048808,0.9650535848048808,0.6357746718688816,0.9650535848048808,0.6357746718688816,0.9650535848048808,0.9650535848048808,0.9650535848048808
subsample_for_bin,238390,485880,485880,287406,100000,485880,500000,500000,100000,100000,100000,100000,500000,100000,100000,278447,278447,131156,278447,131156,278447,278447,278447
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tn,20.0,19.0,19.0,20.0,15.0,19.0,22.0,22.0,22.0,22.0,22.0,18.0,19.0,16.0,18.0,17.0,17.0,20.0,16.0,20.0,17.0,17.0,17.0
tn1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0
tn2,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0
tn3,8.0,8.0,8.0,8.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
tp,16.0,17.0,17.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,18.0,18.0,16.0,16.0,17.0,16.0,17.0,16.0,16.0,16.0
tp1,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
tp2,3.0,6.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
tp3,6.0,4.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
