parameter,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
acc_test,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5535714285714286,0.6071428571428571,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285
acc_test1,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778
acc_test2,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
acc_test3,0.7,0.6,0.6,0.7,0.5,0.6,0.45,0.45,0.45,0.45
acc_train,0.8033707865168539,0.8314606741573034,0.8314606741573034,0.8426966292134831,0.7415730337078652,0.8033707865168539,0.5674157303370787,0.5674157303370787,0.5674157303370787,0.5674157303370787
acc_val,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.5777777777777777,0.5555555555555556,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
best_index,6.0,3.0,3.0,6.0,18.0,3.0,12.0,33.0,0.0,0.0
best_score,0.714002664002664,0.718288084464555,0.718288084464555,0.7030782942547649,0.7423945335710042,0.7020329670329669,0.25793650793650796,0.08333333333333334,0.0,0.0
boosting_type,gbdt,gbdt,gbdt,gbdt,dart,goss,dart,dart,gbdt,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.7776107350396038,0.1801528457825951,0.1801528457825951,0.7776107350396038,1.0,0.1801528457825951,0.01,0.01,0.7304484857455519,0.7304484857455519
cv,5,5,5,5,5,5,5,5,5,5
f1score,0.6153846153846153,0.6296296296296295,0.6296296296296295,0.6153846153846153,0.5614035087719297,0.576923076923077,0.0,0.0,0.0,0.0
f1score1,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6363636363636364,0.6666666666666667,0.0,0.0,0.0,0.0
f1score2,0.4615384615384615,0.7058823529411764,0.7058823529411764,0.4615384615384615,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0
f1score3,0.6666666666666665,0.5000000000000001,0.5000000000000001,0.6666666666666665,0.5,0.5000000000000001,0.0,0.0,0.0,0.0
fn,18.0,17.0,17.0,18.0,18.0,19.0,34.0,34.0,34.0,34.0
fn1,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0
fn2,7.0,4.0,4.0,7.0,6.0,6.0,10.0,10.0,10.0,10.0
fn3,5.0,7.0,7.0,5.0,6.0,7.0,11.0,11.0,11.0,11.0
force_col_wise,true,true,true,true,true,true,true,true,true,true
fp,2.0,3.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0
fp1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
fp2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
fp3,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
importance_type,split,split,split,split,split,split,split,split,split,split
iterations,10,10,10,10,20,5,5,5,5,5
learning_rate,0.0023951202695692304,0.0021068927202279185,0.0021068927202279185,0.0023951202695692304,0.0005,0.0021068927202279185,0.0005,0.0005,0.0008804604510248291,0.0008804604510248291
max_depth,30,26,26,30,50,26,50,50,34,34
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,29,33,33,29,40,33,40,10,21,21
min_child_weight,0.001,0.0023878574945938227,0.0026815758832748554,0.0015552064648767434,0.003,0.0026815758832748554,0.003,0.003,0.0023487605854760514,0.0023487605854760514
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1095,1438,1438,1314,800,1438,800,800,1013,1013
n_iter,,,,,,,5,15,10,10
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,110,110,110,110,110,110,110,110,110,110
num_leaves,8,6,6,7,3,6,10,10,7,7
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
precision,0.8888888888888888,0.85,0.85,0.8888888888888888,0.6956521739130435,0.8333333333333334,0.0,0.0,0.0,0.0
precision1,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.0,0.0,0.0,0.0
precision2,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8,0.8,0.0,0.0,0.0,0.0
precision3,0.8571428571428571,0.8,0.8,0.8571428571428571,0.5555555555555556,0.8,0.0,0.0,0.0,0.0
random_state,,,,,,,,,,
recall,0.47058823529411764,0.5,0.5,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.0,0.0,0.0,0.0
recall1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,0.0,0.0,0.0
recall2,0.3,0.6,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0
recall3,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,0.0,0.0,0.0
reg_alpha,4,3,3,3,0,3,4,4.0,0.0,0.0
reg_lambda,3,2,2,2,0,2,0,0.0,0.2,0.0
roc,0.6898395721925134,0.6818181818181818,0.6818181818181818,0.6898395721925134,0.5762032085561498,0.6524064171122994,0.5,0.5,0.5,0.5
roc1,0.6692307692307693,0.6692307692307693,0.6692307692307693,0.6692307692307693,0.5692307692307692,0.6692307692307693,0.5,0.5,0.5,0.5
roc2,0.65,0.7375,0.7375,0.65,0.6375,0.6375,0.5,0.5,0.5,0.5
roc3,0.7171717171717171,0.6262626262626263,0.6262626262626263,0.7171717171717171,0.5050505050505051,0.6262626262626263,0.5,0.5,0.5,0.5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6156272015036002,0.036023557810653695,0.036023557810653695,0.3525162353863268,1.0,0.036023557810653695,1.0,1.0,0.08711231684588398,0.18630307921210337
subsample_for_bin,238390,485880,485880,287406,100000,485880,500000,500000,100000,100000
subsample_freq,0,0,0,0,0,0,0,0,0,0
tn,20.0,19.0,19.0,20.0,15.0,19.0,22.0,22.0,22.0,22.0
tn1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0
tn2,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0
tn3,8.0,8.0,8.0,8.0,5.0,8.0,9.0,9.0,9.0,9.0
tp,16.0,17.0,17.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0
tp1,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
tp2,3.0,6.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0
tp3,6.0,4.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0
verbose,1,1,1,1,1,1,1,1,1,1
