parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8
importance_type,split
learning_rate,0.0015
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,300
n_jobs,-1
num_leaves,8
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.3
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,
best_score,0.686218487394958
best_index,348.0
acc_train,0.7790697674418605
acc_val,0.6744186046511628
acc_test,0.5370370370370371
precision,0.8571428571428571
recall,0.2
f1score,0.32432432432432434
roc,0.5791666666666666
tn,23.0
fp,1.0
fn,24.0
tp,6.0
acc_test1,0.6111111111111112
precision1,1.0
recall1,0.2222222222222222
f1score1,0.3636363636363636
roc1,0.6111111111111112
tn1,9.0
fp1,0.0
fn1,7.0
tp1,2.0
acc_test2,0.4444444444444444
precision2,1.0
recall2,0.23076923076923078
f1score2,0.375
roc2,0.6153846153846154
tn2,5.0
fp2,0.0
fn2,10.0
tp2,3.0
acc_test3,0.5555555555555556
precision3,0.5
recall3,0.125
f1score3,0.2
roc3,0.5125
tn3,9.0
fp3,1.0
fn3,7.0
tp3,1.0
