parameter,value5
boosting_type,gbdt
class_weight,
colsample_bytree,0.7
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,200
n_jobs,-1
num_leaves,5
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.5
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,2
best_score,0.8095238095238095
best_index,628.0
acc_train,0.7093023255813954
acc_val,0.627906976744186
acc_test,0.5
precision,0.8
recall,0.13333333333333333
f1score,0.2285714285714286
roc,0.5458333333333333
tn,23.0
fp,1.0
fn,26.0
tp,4.0
acc_test1,0.6111111111111112
precision1,1.0
recall1,0.2222222222222222
f1score1,0.3636363636363636
roc1,0.6111111111111112
tn1,9.0
fp1,0.0
fn1,7.0
tp1,2.0
acc_test2,0.3333333333333333
precision2,1.0
recall2,0.07692307692307693
f1score2,0.14285714285714288
roc2,0.5384615384615384
tn2,5.0
fp2,0.0
fn2,12.0
tp2,1.0
acc_test3,0.5555555555555556
precision3,0.5
recall3,0.125
f1score3,0.2
roc3,0.5125
tn3,9.0
fp3,1.0
fn3,7.0
tp3,1.0
