parameter,value1,value2
boosting_type,dart,dart
class_weight,,
colsample_bytree,0.6000568421245674,0.3119007015088166
importance_type,split,split
learning_rate,0.0006885907876058295,0.0020283184855595915
max_depth,38,4
min_child_samples,37,5
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1854,4000
n_jobs,-1,-1
num_leaves,7,9
objective,binary,binary
random_state,,
reg_alpha,1.2000000000000002,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.4488857071819565,0.005
subsample_for_bin,225635,100000
subsample_freq,0,0
verbose,0,0
boost_from_average,True,True
force_col_wise,true,true
max_bin,138,100
metric,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.7000000000000002
cv,5,3
scoring,f1,f1
num_col,100,100
iterations,10,50
best_score,0.5637037037037037,0.5841122628356672
best_index,3.0,48.0
acc_train,0.765625,1.0
acc_val,0.6458333333333334,0.6666666666666666
acc_test,0.6166666666666667,0.5333333333333333
precision,0.8333333333333334,0.6666666666666666
recall,0.42857142857142855,0.4
f1score,0.5660377358490566,0.5
roc,0.6542857142857142,0.56
tn,22.0,18.0
fp,3.0,7.0
fn,20.0,21.0
tp,15.0,14.0
acc_test1,0.65,0.6
precision1,1.0,1.0
recall1,0.4166666666666667,0.3333333333333333
f1score1,0.5882352941176471,0.5
roc1,0.7083333333333334,0.6666666666666666
tn1,8.0,8.0
fp1,0.0,0.0
fn1,7.0,8.0
tp1,5.0,4.0
acc_test2,0.75,0.6
precision2,0.8571428571428571,0.6
recall2,0.6,0.6
f1score2,0.7058823529411764,0.6
roc2,0.7500000000000001,0.6
tn2,9.0,6.0
fp2,1.0,4.0
fn2,4.0,4.0
tp2,6.0,6.0
acc_test3,0.45,0.4
precision3,0.6666666666666666,0.5714285714285714
recall3,0.3076923076923077,0.3076923076923077
f1score3,0.42105263157894735,0.4
roc3,0.510989010989011,0.43956043956043955
tn3,5.0,4.0
fp3,2.0,3.0
fn3,9.0,9.0
tp3,4.0,4.0
