parameter,value5_x,value5_y,value5_x,value5_y,value6,value7,value8,value9,value10,value11
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.7,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.8
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.001,0.005,0.001,0.0008,0.0009,0.0009,0.0009,0.0007,0.0009,0.0009
max_depth,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
min_child_samples,20,20,20,20,20,20,20,30,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,200,300,200,300,300,300,300,400,300,200
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,5,6,5,6,5,7,7,8,8,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.5,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,2
best_score,0.8095238095238095,0.6907142857142857,0.8095238095238095,0.8404761904761905,0.8452380952380952,0.8452380952380952,0.8452380952380952,0.7554421768707483,0.8452380952380952,0.9199999999999999
best_index,628.0,466.0,628.0,843.0,813.0,182.0,182.0,20.0,182.0,298.0
acc_train,0.7093023255813954,0.8953488372093024,0.7093023255813954,0.7558139534883721,0.7616279069767442,0.7674418604651163,0.7674418604651163,0.7209302325581395,0.7732558139534884,0.686046511627907
