parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.0015
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,
num_col,50.0
best_score,0.7347619047619047
best_index,0.0
acc_train,0.9265536723163842
acc_val,0.5777777777777777
acc_test,0.6607142857142857
precision,0.8095238095238095
recall,0.53125
f1score,0.6415094339622642
roc,0.6822916666666667
tn,20.0
fp,4.0
fn,15.0
tp,17.0
acc_test1,0.5555555555555556
precision1,0.7142857142857143
recall1,0.45454545454545453
f1score1,0.5555555555555556
roc1,0.5844155844155845
tn1,5.0
fp1,2.0
fn1,6.0
tp1,5.0
acc_test2,0.7222222222222222
precision2,1.0
recall2,0.5454545454545454
f1score2,0.7058823529411764
roc2,0.7727272727272727
tn2,7.0
fp2,0.0
fn2,5.0
tp2,6.0
acc_test3,0.7
precision3,0.75
recall3,0.6
f1score3,0.6666666666666665
roc3,0.7000000000000002
tn3,8.0
fp3,2.0
fn3,4.0
tp3,6.0
