parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.8
importance_type,split
learning_rate,0.002
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1000
n_jobs,-1
num_leaves,7
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,
num_col,72.0
best_score,0.7177777777777777
best_index,649.0
acc_train,0.9322033898305084
acc_val,0.5777777777777777
acc_test,0.5892857142857143
precision,0.7368421052631579
recall,0.4375
f1score,0.5490196078431372
roc,0.6145833333333333
tn,19.0
fp,5.0
fn,18.0
tp,14.0
acc_test1,0.4444444444444444
precision1,0.6
recall1,0.2727272727272727
f1score1,0.37499999999999994
roc1,0.4935064935064935
tn1,5.0
fp1,2.0
fn1,8.0
tp1,3.0
acc_test2,0.7222222222222222
precision2,1.0
recall2,0.5454545454545454
f1score2,0.7058823529411764
roc2,0.7727272727272727
tn2,7.0
fp2,0.0
fn2,5.0
tp2,6.0
acc_test3,0.6
precision3,0.625
recall3,0.5
f1score3,0.5555555555555556
roc3,0.5999999999999999
tn3,7.0
fp3,3.0
fn3,5.0
tp3,5.0
